Game6
 Kensaku Okatani : 3                   Poem Nishimura@CHIBA-O : 5
  1)                                   43: 24/20 13/10                   
  2) 21: 13/11 6/5*                    51: Bar/20* 10/9                  
  3) 54: Bar/16*                       43: Bar/22 24/20                  
  4) 21: 24/23 13/11                   66: 13/7(2) 8/2*(2)               
  5) 64: Bar/21 16/10                  31: 8/5 6/5                       
  6) 31: 24/21 11/10                   61: 20/14* 14/13                  
  7) 63: Bar/16                        41: 13/9* 6/5                     
  8) 63: Bar/16*                       51: Bar/20 22/21                  
  9) 64: 10/4* 8/4                     54: Bar/20 13/9*                  
 10) 22: Cannot Move                   65: 20/15* 15/9                   
 11) 21: Bar/24                        54: 6/1* 5/1                      
 12) 32: Bar/22                        62: 13/11 9/3*                    
 13) 61: Cannot Move                   42: 9/3                           
 14) 54: Bar/21                        64: 20/16 20/14                   
 15) 21: Cannot Move                   54: 16/11 14/10                   
 16) 31: Cannot Move                   21: 7/6 7/5                       
 17) 61: Cannot Move                   42: 11/9 10/6                     
 18) 41: Bar/21 6/5                    42: 11/7 9/7                      
 19) 55: 21/11(2)                      52: 7/5 7/2                       
 20) 32: 13/10 8/6                     52: 5/Off 2/Off                   
 21) 65: 11/6 11/5                     62: 6/Off 2/Off                   
 22) 21: 13/12 8/6                     51: 6/Off                         
 23) 65: 13/8 12/6                     21: 2/Off 1/Off                   
 24) 41: 10/6 8/7                      43: 5/1 3/Off                     
 25) 31: 21/18 7/6                     63: 6/3 6/Off                     
 26) 31: 18/14                         32: 5/3 5/2                       
 27) 44: 21/13 14/6                    51: 3/Off 1/Off                   
 28) 53: 13/5                          51: 3/Off 1/Off                   
 29) 64: 6/Off 4/Off                   32: 3/Off 2/Off                   
                                        Wins 1 point



 
