Game2
 Takeo Takizawa : 1                    Morio Fujii : 0
  1)                                   53: 8/3 6/3                       
  2) 61: 13/7 8/7                      55: 13/3(2)                       
  3) 55: 13/3(2)                       51: 24/23 13/8                    
  4) 43: 24/21 6/2*                    51: Bar/20 24/23*                 
  5) 33: Cannot Move                   61: 8/2 3/2                       
  6) 42: Bar/21 6/4                    42: 23/21* 20/16                  
  7) 53: Bar/20 24/21                  41: 21/16                         
  8) 41: 21/20 8/4                     62: 16/8                          
  9) 21: 7/5 6/5                       65: 16/11 8/2                     
 10) 42: 20/14*                        44: Bar/21* 21/17* 13/5*          
 11) 42: Bar/21                        52: 6/1 3/1                       
 12) 61: Cannot Move                   61: 17/11* 6/5                    
 13) 41: Bar/21                        42: 13/7                          
 14) 65: Cannot Move                   51: 11/6 8/7                      
 15) 64: Bar/21                        54: 8/3 7/3                       
 16) 43: Bar/18*                       51: Bar/24 6/1                    
 17) 42: 13/7                          42: 5/3 5/1                       
 18) 32: 21/16                         41: 6/5 6/2                       
 19) 31: 21/20* 20/17                  43: Bar/21 24/21                  
 20) 54: 21/17 21/16                   61: 21/15 3/2                     
 21) 42: 16/10*                        32: Bar/23                        
 22) 41: 17/16 10/6                    62: 23/15                         
 23) 32: 13/10* 6/4*                   42: Bar/23 Bar/21*                
 24) 64: Bar/21 10/4*                  65: Cannot Move                   
 25) 31: 7/6 7/4                       54: Cannot Move                   
 26) 51: 18/13 16/15                   42: Bar/23                        
 27) 54: 13/4                          31: 2/1                           
 28) 11: 21/20 16/14 15/14             61: 23/17 3/2                     
 29) 52: 21/16 4/2*                    41: Bar/24 17/13                  
 30) 21: 14/12* 2/1*                   33: Cannot Move                   
 31) 51: 14/13 6/1                     63: Cannot Move                   
 32) 33: 16/7 13/10                    51: Cannot Move                   
 33) 42: 12/6                          54: Cannot Move                   
 34) 54: 7/2 6/2                       42: Cannot Move                   
 35) 63: 20/11                         66: Cannot Move                   
 36) 33: 17/5                          31: Cannot Move                   
 37) 32: 11/6                          22: Cannot Move                   
 38) 32: 10/5                          31: Cannot Move                   
 39) 11: 6/2                           21: Cannot Move                   
 40) 65: 6/1 6/Off                     21: Cannot Move                   
 41) 32: 5/3 5/2                       53: Cannot Move                   
 42) 61: 5/4 5/Off                     64: Bar/19                        
 43) 61: 4/Off 3/2                     32: Cannot Move                   
 44) 51: 4/3 4/Off                     21: Cannot Move                   
 45) 51: 3/Off 1/Off                   63: Bar/16                        
 46) 32: 3/Off 2/Off                   65: 19/13 16/11                   
 47) 55: 3/Off 2/Off(3)                52: 13/6                          
 48) 66: 2/Off 1/Off(2)                
      Wins 2 point



 
