Game12
 Nevzat : 10                     Michi : 11
  1)                             21: 13/11 6/5               
  2) 21: 13/11 6/5               54: 24/20 13/8              
  3) 41: 25/21 21/20             51: 25/20 6/5               
  4) 54: 25/20 24/20             52: 25/20 13/11             
  5) 61: 13/7 8/7                53: 8/3 6/3                 
  6) 31: 13/10 11/10             62: 20/14 24/22             
  7) 63: 24/18 18/15             66: 20/14 20/14 22/16 16/10 
  8) 66:                         44: 14/10 14/10 14/10 10/6  
  9) 42: 25/23 8/4               53: 13/8 13/10              
 10) 63: 10/4 8/5                52: 10/8 8/3                
 11) 66: 7/1 7/1 13/7 13/7       53: 11/6 11/8               
 12) 22: 7/5 6/4 4/2 10/8         Doubles => 2               
 13)  Takes                      32: 8/6 6/3                 
 14) 63: 8/2 6/3                 42: 8/4 6/4                 
 15) 43: 23/20 7/3               62: 10/4 3/1                
 16) 61: 20/14 14/13             41: 3/2 8/4                 
 17) 65: 13/7 7/2                42: 10/6 10/8               
 18) 63: 20/14 14/11             44: 8/4 8/4 8/4 4/0         
 19) 41: 11/7 7/6                11: 6/5 6/5 4/3 2/1         
 20) 65:                         52: 6/1 6/4                 
 21) 43:                         62: 5/0 5/3                 
 22) 64: 25/19 19/15             65: 4/0 4/0                 
 23) 54: 15/10 10/6              54: 4/0 4/0                 
 24) 11: 2/1 1/0 1/0 1/0         51: 4/0 1/0                 
 25) 54: 5/0 4/0                 65: 4/0 3/0                 
 26) 43: 4/0 3/0                 33: 3/0 3/0 3/0 1/0         
                                  Wins 2 point



 
