Game11
 Masayuki Mochizuki : 19         Susumu Mizutani : 5
  1) 52: 24/22 13/8              53: 8/3 6/3                 
  2) 22: 25/23 6/4 6/4 23/21     55: 13/8 13/8 6/1 6/1       
  3) 41: 25/21 8/7               41: 24/20 24/23             
  4) 61: 13/7 6/5                52: 25/20 8/6               
  5) 21: 25/23 8/7               11: 8/7 7/6 6/5 6/5         
  6) 31: 13/10 7/6                Doubles => 2               
  7)  Takes                      41: 20/16 16/15             
  8) 11:                         54: 15/10 10/6              
  9) 55:                         52: 13/8 8/6                
 10) 65:                         61: 8/2 6/5                 
 11) 52: 25/23                   53: 25/20 5/2               
 12) 41: 25/21                   44: 6/2 13/9 20/16 13/9     
 13) 41: 25/21 6/5               65: 16/11 8/2               
 14) 61: 21/15 15/14             52: 25/20 9/7               
 15) 54: 25/21 21/16             52: 25/20 7/5               
 16) 51: 21/16 14/13             54: 20/15 15/11             
 17) 65: 13/7 13/8               65: 20/14 11/6              
 18) 63: 16/10 16/13             53: 23/20 20/15             
 19) 55:                         61: 15/9 9/8                
 20) 11:                         51: 14/9 9/8                
 21) 11:                         53: 8/3 8/5                 
 22) 55:                         21: 3/1 1/0                 
 23) 66:                         43: 5/1 6/3                 
 24) 22:                         22: 5/3 3/1 3/1 2/0         
 25) 11:                         55: 6/1 6/1 5/0 5/0         
 26) 22:                         41: 3/0 3/2                 
 27) 44: 25/21 21/17 21/17 21/17 52: 2/0 2/0                 
 28) 53: ???                      Wins 4 point



 
