Game2
 Tatsuya Tanaka : 0              Mochy : 2
  1)                             52: 24/22 13/8              
  2) 32: 6/3 3/1                 21: 25/24 25/23             
  3) 43: 25/21 24/21             52: 23/21 13/8              
  4) 21: 13/11 11/10             66: 21/15 8/2 8/2 15/9      
  5) 41: 25/24 13/9              42: 13/9 24/22              
  6) 52: 9/4 6/4                 32: 22/20 6/3               
  7) 63: 13/7 8/5                53: 25/20 6/3               
  8) 42: 25/21 7/5               52: 25/20 20/18             
  9) 21: 25/24 8/6               64: 18/14 14/8              
 10) 43: 24/20 8/5               62: 13/7 7/5                
 11) 66:                          Doubles => 2               
 12)  Drops                       Wins 1 point



 
