Game3
 Kame@Chiba-O : 1                           Atsushi Ogawa : 2
  1) 43: 13/10 13/9                    21: 24/23 13/11                   
  2) 52: 9/4 6/4                       64: 13/7 11/7                     
  3) 53: 10/5 8/5                      22: 13/9 6/4(2)                   
  4) 42: 13/9 6/4                      52: 23/16*                        
  5) 64: Cannot Move                   31: 8/5 6/5                       
  6) 32: Bar/22 24/22                  51: 16/10                         
  7) 63: 22/16* 16/13                  66: Cannot Move                   
  8) 31: 6/3 4/3                       41: Bar/24 10/6                   
  9) 44: 13/9(2) 13/5                  53: 8/3* 6/3                      
 10) 43: Cannot Move                   61: 24/18 8/7                     
 11) 54: Cannot Move                   42: 18/14 7/5                     
 12) 51: Bar/24 9/4                     Doubles => 2                     
 13)  Drops                             Wins 1 point



 
