Game19
 Bill Robertie : 15              Simone Naim : 18
  1) 32: 13/10 13/11             54: 24/20 20/15* 
  2) 63: 25/22 11/5              32: 13/10 15/13 
  3) 44: 24/20 24/20 13/9 9/5    63: 24/18 13/10 
  4) 21: 6/4 8/7*                43: 25/21* 21/18* 
  5) 62: 25/23                   54: 18/13 6/2* 
  6) 62: 25/23*                  21: 25/23 23/22 
  7) 32: 25/23 6/3*              21: 25/23 23/22* 
  8) 54: 25/21 8/3*              64: 25/21 21/15 
  9) 31: 6/3 22/21               32: 13/10 15/13 
 10) 61: 23/22 22/16             51: 13/8 10/9* 
 11) 51: 25/24 21/16*            61: 25/24 24/18 
 12) 41: 24/20 8/7*              21: 25/24 8/6 
 13) 63: 16/10 10/7              43: 24/21 21/17 
 14) 33: 7/4 7/4 5/2 5/2         66: 10/4* 10/4 8/2* 8/2 
 15) 31: 25/22 25/24             31: 6/3* 3/2 
 16) 43: 25/22 24/20             65: 17/11 13/8 
 17) 51: 20/15 15/14*            43: 
 18) 64: 22/16 14/10             61: 25/24 24/18 
 19) 62: 13/7* 13/11             61: 25/24 24/18* 
 20) 52: 25/20 10/8              41: 13/9* 18/17* 
 21) 44:                         41: 17/13 13/12 
 22) 52: 25/20                   31: 13/10 10/9 
 23) 42:                         61: 13/7 7/6 
 24) 21: 25/24 11/9               Doubles => 2
 25)  Drops                       Wins 1 point

 
