Game2
 Hal Heinrich : 17               Freddy Narboni : 9
  1) 54: 13/8 24/20              63: 24/18 8/5* 
  2) 42: 25/23 24/20*            61: 25/24 24/18 
  3) 62: 23/21 21/15             11: 8/7 8/7 6/5* 6/5 
  4) 33: 25/22 13/10 8/5 8/5      Doubles => 2
  5)  Takes                      22: 7/5 7/5 5/3* 5/3 
  6) 63:                         62: 18/16 16/10* 
  7) 32: 25/23                   21: 18/16 16/15* 
  8) 51: 25/24                   31: 15/14 14/11 
  9) 42: 25/21 23/21             54: 10/5 13/9 
 10) 21: 24/23 23/21             66: 13/7 13/7 11/5 9/3 
 11) 52: 6/1* 13/11              61: 25/24* 24/18 
 12) 61: 25/24 13/7*             65: 
 13) 43: 8/4 7/4                 64: 
 14) 33: 24/21 11/8 6/3 6/3      61: 25/24 24/18 
 15) 21: 13/11 8/7*              53: 
 16) 61: 21/15 8/7               21: 25/23 3/2 
 17) 21: 15/13 11/10             31: 5/2 13/12* 
 18) 32:                         11: 13/12 12/11 12/11 6/5 
 19) 53:                         66: 23/17 17/11 7/1 7/1 
 20) 21:                         53: 11/6 5/2 
 21) 61:                         42: 11/7 7/5 
 22) 21:                         43: 5/1 6/3 
 23) 43: 25/21 10/7              41: 11/7 7/6 
 24) 52: 21/16 16/14             54: 5/0 6/2 
 25) 54: 21/16 16/12             65: 6/0 6/1 
 26) 51: 14/9 7/6                42: 5/1 5/3 
 27) 61: 12/6 7/6                65: 3/0 3/0 
 28) 61: 21/15 7/6               61: 3/0 1/0 
 29) 42: 21/17 15/13             54: 3/0 2/0 
 30) 51: 17/12 12/11             64: 2/0 2/0 
 31) 62: 13/7 9/7                65: 2/0 1/0 
 32) 21: 7/5 7/6                 32: 1/0 1/0 
 33) 43: 11/7 7/4                21: 1/0 
                                  Wins 4 points

 
