Game1
 Meyburg : 0                     Mauerer : 2
  1) 62: 24/18 13/11             52: 13/8 24/22 
  2) 42: 8/4 6/4                 61: 13/7* 8/7 
  3) 32: 25/23 6/3*              62: 25/23 13/7 
  4) 32: 6/3 13/11               54: 8/3 7/3 
  5) 41: 11/7 7/6                32: 13/10 13/11 
  6) 52: 13/8 13/11              31: 8/5 6/5 
  7) 42: 23/21 21/17*            42: 25/23 11/7 
  8)  Doubles => 2                Takes
  9) 63: 24/21 21/15*            42: 25/23 24/20 
 10) 21: 8/6 6/5*                41: 25/24 24/20* 
 11) 62: 25/23 23/17             62: 20/18 18/12* 
 12) 33:                         32: 23/20 12/10* 
 13) 54: 25/21                    Doubles => 4
 14)  Takes                      51: 10/5 5/4* 
 15) 33:                         53: 23/18 7/4 
 16) 43:                         31: 23/20 6/5 
 17) 32: 25/23                   51: 7/2* 5/4 
 18) 42: 25/23*                  51: 25/24 7/2* 
 19) 43:                         22: 20/18 20/18 18/16 4/2 
 20) 52:                         21: 16/15 15/13 
 21) 64:                         11: 13/12 12/11 11/10 10/9 
 22) 62:                         21: 9/7 6/5 
 23) 42:                         22: 18/16 18/16 7/5 5/3 
 24) 32:                         53: 16/11 16/13 
 25) 42:                         53: 11/6 13/10 
 26) 63:                         22: 6/4 5/3 3/1 3/1 
 27) 21:                         31: 24/23 23/20 
 28) 21:                         52: 20/15 15/13 
 29) 21:                         42: 13/9 9/7 
 30) 21:                         53: 10/5 7/4 
 31) 21:                         55: 6/1 6/1 5/0 5/0 
 32) 42:                         53: 5/0 4/1 
 33) 62: 25/19                   64: 4/0 4/0 
 34) 64: 25/21* 19/13            51: 25/20 2/1 
 35) 31: 8/5* 6/5                32: 25/23 
 36) 62: 8/2* 11/9               53: 
 37) 64: 13/7 11/7               61: 25/24 
 38) 64: 17/11 17/13             63: 
 39)  Doubles => 8                Drops
      Wins 4 points              

 
