Game8
 Meyburg : 16                    Mauerer : 5
  1)                             62: 24/18 13/11 
  2) 33: 13/10 13/10 10/7* 10/7  52: 25/20 13/11 
  3) 62: 13/7 7/5*               31: 25/22 22/21 
  4) 54: 6/1* 8/4*               64: 25/21* 
  5) 41: 25/21 6/5               64: 25/21 13/7 
  6) 53: 21/18* 18/13            41: 25/24* 11/7 
  7) 31: 25/22 22/21             62: 11/5 7/5 
  8) 51: 13/8 8/7                61: 13/7 8/7 
  9) 61: 13/7 13/12*             32: 25/22 6/4* 
 10) 52: 25/23 6/1*              32: 25/22 6/4 
 11) 44: 6/2 6/2 5/1 5/1         64: 8/2* 6/2 
 12) 42:                         62: 21/15 15/13* 
 13) 32: 25/22                   32: 8/5 5/3* 
 14) 51: 25/24                   32: 13/10 10/8 
 15) 51: 25/24 7/2               65: 22/16 8/3 
 16) 63: 8/2 8/5                 42: 16/12 22/20* 
 17) 21: 25/24 7/5*              62: 25/19 12/10 
 18) 53: 7/2 5/2                 53: 21/18* 18/13 
 19) 42:                         55: 19/14 14/9 13/8 10/5 
 20) 32:                         21: 9/7 7/6 
 21) 42:                         31: 8/5 5/4 
 22) 31: 25/24                   22: 7/5 7/5 5/3 5/3 
 23) 51: 2/1                     31: 3/0 3/2 
 24) 65: 24/18 18/13             31: 3/0 4/3 
 25) 61: 24/18 13/12             32: 6/3 2/0 
 26) 43: 18/14 14/11             51: 5/0 3/2 
 27) 51: 12/7 7/6                32: 6/3 6/4 
 28) 21: 11/9 9/8                65: 5/0 5/0 
 29) 51: 24/19 19/18             43: 4/0 3/0 
 30) 11: 18/17 17/16 8/7 7/6     54: 4/0 4/0 
 31) 51: 24/19 19/18             11: 3/2 3/2 
 32) 41: 24/20 20/19             55: 2/0 2/0 2/0 2/0 
                                  Wins 3 points

 
