Game10
 Thomsen : 14                   Johanni : 3
  1) 32: 24/21 13/11             53: 8/3 6/3                 
  2) 66: 21/9 13/7 13/7          32: 6/1*                    
  3) 33:                         51: 6/1 24/23               
  4) 21: 25/23 9/8               41: 13/9 23/22              
  5) 66: 8/2 8/2 7/1* 7/1        52: 25/20 22/20             
  6) 61: 11/4                    42: 13/9 13/11              
  7) 21: 6/3                     44: 9/5 9/5 8/4 8/4         
  8) 31: 6/3 4/3                 41: 11/6                    
  9) 11: 8/7 8/7 3/1             41: 6/2* 2/1                
 10) 61:                          Doubles => 2               
 11)  Drops                       Wins 1 point 

 
