Game20
 BenZion : 16                    Tissona : 15
  1) 43: 13/9 13/10              63: 24/18 18/15* 
  2) 54: 25/20 24/20             44: 24/20 20/16* 13/9 13/9 
  3) 41: 25/24 13/9*             41: 25/24 15/11 
  4) 53: 8/3 6/3                 63: 24/18 11/8 
  5) 61: 13/7* 8/7               52: 25/20 8/6 
  6) 65: 9/3 13/8                54: 20/15 13/9 
  7) 51: 7/2 3/2                 66: 15/9 13/7 13/7 9/3 
  8) 62: 20/14 24/22*            31: 25/24 8/5* 
  9) 11: 25/24 22/21 21/20* 8/7  11: 25/24 6/5* 6/5 6/5 
 10) 53: 25/22 14/9               Doubles => 2
 11)  Drops                       Wins 1 point

 
