Game9
 BenZion : 9                     Tissona : 8
  1)                             52: 13/8 13/11 
  2) 44: 24/20 24/20 13/9 13/9   66: 24/18 24/18 8/2 8/2 
  3) 32: 8/5 6/4                 31: 13/10 11/10 
  4) 54: 9/4 9/5                 53: 13/8 13/10 
  5) 31: 6/3 6/5                 33: 18/15 18/15 6/3 6/3 
  6) 43: 13/9 9/6                31: 10/7 8/7 
  7) 51: 8/3 8/7                 44: 15/11 15/11 11/7 11/7 
  8) 66: 20/14 20/14 14/8 14/8   31: 8/5 7/6 
  9) 64: 13/7 13/9               51: 10/5 7/6 
 10) 64: 8/2 8/4                 51: 10/5 5/4 
 11) 31: 7/4 7/6                 33: 8/5 7/4 7/4 3/0 
 12) 54: 9/4 4/0                 55: 6/1 5/0 5/0 5/0 
 13) 62: 6/0 2/0                  Doubles => 2
 14)  Drops                       Wins 1 point

 
