Game27
 Nahmad : 24                     Vahab : 23
  1)                             53: 8/3 6/3 
  2) 31: 8/5 6/5                 42: 8/4 6/4 
  3) 42: 8/4 6/4                 32: 13/10 10/8 
  4) 53: 8/3 6/3                 64: 24/18 18/14 
  5) 43: 13/9 13/10              63: 24/18 18/15* 
  6) 63:                         53: 15/10 14/11 
  7) 11: 25/24 24/23 24/23 9/8   32: 13/10 13/11 
  8) 41: 13/9 8/7                43: 11/7 10/7 
  9) 53: 7/2 9/6                 63: 13/7 13/10 
 10) 21: 13/11 11/10             22: 11/9 9/7 7/5 7/5 
 11) 31: 10/7 24/23              52: 10/5 5/3 
 12) 61: 13/7 7/6                33: 10/7 8/5 8/5 7/4 
 13) 52: 7/2 6/4                 41: 7/3 7/6 
 14) 43: 6/2 4/1                 33: 6/3 3/0 3/0 3/0 
 15) 52: 23/18 18/16             21: 6/4 4/3 
 16) 43: 16/12 12/9              33: 6/3 6/3 3/0 3/0 
 17) 62: 23/17 17/15             21: 4/2* 3/2 
 18) 54:                         21: 5/3 5/4 
 19) 66: 25/19 19/13 15/9 13/7   31: 3/0 2/1 
 20) 41: 9/5 7/6                 54: 5/0 4/0 
 21) 44: 9/5 6/2 4/0 4/0         65: 5/0 4/0 
 22) 32: 3/0 2/0                  Wins 1 point

 
