Game5
 michy : 2                             Thomas Low : 3
  1)                                   64: 24/18 13/9                    
  2) 61: 13/7* 8/7                     61: Bar/24 13/7                   
  3) 65: 24/18* 18/13                  65: Bar/20 13/7                   
  4) 51: 24/18*                        43: Bar/22 24/20                  
  5) 42: 18/16* 13/9                   31: Bar/22 6/5                    
  6) 64: 16/10 13/9                    54: 24/20 8/3                     
  7) 41: 13/9 10/9                     63: 20/14 8/5                     
  8) 63: 13/10 13/7                    63: 13/7 6/3                      
  9) 62: 10/4 6/4                      22: 14/12 8/4 6/4                 
 10) 63: 9/6 7/1                       63: 13/7 12/9                     
 11) 31: 7/6 7/4                       61: 9/2                           
 12) 52: 9/2                           63: 7/4 7/1                       
 13) 32: 6/1                           43: 5/2 5/1                       
 14)  Doubles => 2                      Takes                            
 15) 63: 8/2 4/1                       21: 20/17*                        
 16) 53: Bar/17                        32: 20/17 4/2                     
 17) 22: 9/5(2)                        53: 6/3 6/1                       
 18) 64: 17/7                          53: 17/14 17/12                   
 19) 53: 7/4 6/1                       21: 14/11                         
 20) 55: 6/1(2) 5/Off(2)               41: 11/6                          
 21) 61: 6/Off 1/Off                   33: 22/19* 19/16 12/6             
 22) 52: Bar/18                        63: 16/7*                         
 23) 51: Bar/20 2/1                    41: 22/18 7/6                     
 24) 51: 20/14                         22: 18/10                         
 25) 42: 14/8                          61: 10/4 1/Off                    
 26) 41: 8/4 1/Off                     53: 6/1 3/Off                     
 27) 31: 4/Off                         64: 6/Off 4/Off                   
 28) 62: 4/Off 2/Off                   52: 6/1 2/Off                     
 29) 62: 4/2 4/Off                     65: 4/Off(2)                      
 30) 61: 2/Off 1/Off                   61: ????                          
      Wins 2 point



 
