Game1
 Jacobowitz : 0                  Ghodsi : 0
  1)                             31: 8/5 6/5 
  2) 32: 24/21 13/11             32: 13/10 6/4* 
  3) 21: 25/24 13/11             62: 10/4 24/22 
  4) 51: 13/8 24/23              63: 22/16 16/13 
  5) 52: 23/18 18/16              Doubles => 2
  6)  Takes                      43: 13/9* 13/10 
  7) 16: 25/24 8/2               64: 10/4 13/9 
  8) 54: 11/6 6/2                44: 24/20 20/16 9/5 9/5 
  9) 65: 11/5 8/3                54: 16/11 13/9 
 10) 12: 5/3 13/12*              66: 
 11) 33: 13/10 12/9 8/5 8/5      43: 25/21 21/18 
 12) 65: 10/4 9/4                31: 18/15 9/8 
 13) 43: 6/2 6/3                 41: 11/7 8/7 
 14) 64: 6/2                     51: 8/3 4/3 
 15) 64: 5/1                     21: 5/3 15/14 
 16) 51: 6/1 6/5                 51: 14/9 8/7 
 17) 16: 24/23 23/17             33: 7/4 7/4 4/1* 4/1 
 18) 41:                         61: 7/1 9/8* 
 19) 45:                         11: 5/4 4/3 3/2 3/2 
 20) 11:                         21: 8/6 1/0 
 21) 21:                         32: 6/3 6/4 
 22) 32:                         51: 6/1 6/5 
 23) 42:                         62: 5/0 4/2 
 24) 51:                         64: 5/0 5/1 
 25) 64: 25/19                   65: 4/0 4/0 
 26) 62: 25/19 19/17             41: 3/0 1/0 
 27) 66: 19/13 17/11 13/7 11/5   64: 3/0 3/0 
                                  Wins 2 points

 
