Game5
 Noriyuki Hosaka : 6             Masahiko Nasu : 3
  1)                             14: 13/9 6/5 
  2) 25: 13/8 24/22              33: 24/21 8/5 6/3* 6/3 
  3) 46: 25/21 21/15              Doubles => 2
  4)  Takes                      56: 21/15 15/10* 
  5) 24: 25/23 13/9              15: 13/8 10/9 
  6) 25: 9/4 6/4                 26: 13/7 9/7 
  7) 24: 8/4 23/21               46: 24/18 8/4* 
  8) 26: 25/23 13/7*             25: 25/23 9/4 
  9) 12: 7/5 24/23               25: 23/18 18/16 
 10) 23: 8/5 4/2                 44: 13/9 13/9 9/5 5/1 
 11) 25: 8/3 6/4                 56: 16/10 10/5 
 12) 14: 13/9 4/3                11: 9/8 8/7 7/6 5/4 
 13) 15: 13/8 8/7                14: 8/4 8/7 
 14) 22: 8/6 7/5 6/4 4/2         34: 7/3 4/1 
 15) 12: 9/7 5/4                 55: 6/1 6/1 6/1 
 16) 15: 7/2 2/1                 26: 7/1 7/5 
 17) 14: 23/19 19/18             46: 5/0 4/0 
 18) 24: 18/14 14/12             14: 5/1 5/4 
 19) 45: 6/1 12/8                55: 4/0 4/0 4/0 3/0 
 20) 13: 8/5 4/3                 14: 3/0 1/0 
 21) 25: 23/18 18/16             22: 3/1 1/0 1/0 1/0 
 22) 33: 16/13 13/10 10/7 7/4    23: 1/0 1/0 
 23) 23: 3/0 2/0                 23: 1/0 1/0 
                                  Wins 2 points

 
