Game4
 Kensaku Okatan : 5                    Poem Nishimura : 4
  1)                                   31: 8/5 6/5                       
  2) 64: 24/14                          Doubles => 2                     
  3)  Takes                            66: 24/18(2) 13/7(2)              
  4) 11: 14/13 6/5(3)                  31: 13/10 6/5                     
  5) 62: 24/16                         42: 13/11 13/9*                   
  6) 51: Bar/24 13/8                   31: 11/8 10/9                     
  7) 31: 8/4                           31: 9/6 8/7                       
  8) 64: 13/3                          41: 8/4 5/4                       
  9) 63: 13/4                          41: 8/4 6/5                       
 10) 41: 24/23 8/4                     21: 5/3 4/3                       
 11) 64: 23/13                         61: 9/2                           
 12) 63: 13/4                          52: 7/5 7/2                       
 13) 31: 5/2 4/3                       51: 6/1 5/4                       
 14) 64: 13/3                          32: 7/5 4/1                       
 15) 42: 8/6 8/4                       51: 6/1 5/4                       
 16) 52: 6/1 4/2                       31: 6/2                           
 17) 33: 13/10(2) 6/3 4/1              32: 5/3 5/2                       
 18) 44: 10/6(2) 4/Off(2)              31: 18/17 18/15                   
 19) 33: 3/Off(4)                      66: 17/5 15/3                     
 20) 54: 6/2 5/Off                     63: 5/Off 3/Off                   
 21) 43: 6/3 6/2                       41: 4/Off 1/Off                   
 22) 11: 2/Off 1/Off(2)                42: 4/Off 2/Off                   
 23) 51: 5/Off 2/1                     22: 4/Off 2/Off(2)                
 24) 65: 3/Off 2/Off                   65: ????                          
      Wins 7 point and the match




