Game4
 michy : 3                             Thomas Low : 1
  1)                                   54: 13/9 13/8                     
  2) 62: 24/16*                        22: Bar/21 13/9*                  
  3) 21: Bar/24 6/4*                   32: Bar/23 24/21*                 
  4) 54: Bar/16*                       22: Bar/21 6/4(2)                 
  5) 41: 24/20 16/15                   62: 24/18 8/6                     
  6) 43: 24/20 13/10                   31: 23/22 18/15*                  
  7) 66: Cannot Move                   41: 15/10*                        
  8) 32: Bar/23 Bar/22                 54: 22/13                         
  9) 41: 23/22 13/9                    44: 13/9(3) 10/6                  
 10) 31: 8/5 6/5                       53: 21/16* 16/13                  
 11) 63: Bar/22 13/7                   63: 21/18* 13/7                   
 12) 42: Bar/23 22/18*                 31: Bar/24 18/15                  
 13) 42: 8/4 6/4                       11: 24/23 9/7* 8/7                
 14) 44: Cannot Move                   63: 23/17* 17/14                  
 15) 53: Bar/22 Bar/20                 51: 15/14 6/1                     
 16) 61: 20/13                         62: 14/8 6/4                      
 17) 61: 13/6                          55: 14/9 7/2*(2) 6/1              
 18) 52: Bar/20 22/20                  43: 9/6 8/4                       
 19) 42: 20/14                         31: 9/8 9/6                       
 20) 54: 20/11                         44: 8/4(2) 8/Off                  
 21) 62: 14/12 13/7                     Doubles => 2                     
 22)  Drops                             Wins 1 point



 
