Game5
 Carlo Melzi : 4                 Ed O'Laughlin : 8
  1) 65: 24/18 18/13             55: 13/8 13/8 6/1* 6/1 
  2) 64: 25/21 21/15             43: 24/20 13/10* 
  3) 51: 25/20 6/5*              65: 25/20* 20/14 
  4) 55: 25/20 20/15* 20/15 13/8 64: 25/21 14/8 
  5) 22: 13/11 8/6 6/4* 6/4      22: 25/23 8/6 6/4 6/4 
  6) 65: 13/7 7/2*               31: 25/22 24/23* 
  7) 52: 25/20 13/11             42: 22/18 8/6 
  8) 11: 8/7* 7/6 6/5 6/5        21: 25/23 6/5* 
  9) 52: 25/20* 11/9             53: 25/22 8/3 
 10) 33: 13/10 13/10 10/7 10/7   63: 22/16* 8/5* 
 11) 31: 25/22*                  42: 25/23 16/12 
 12) 21: 25/23 23/22             52: 12/7 7/5 
 13) 53: 15/10 10/7              33: 13/10* 13/10 10/7 10/7 
 14) 11:                         21: 8/6 23/22 
 15) 63: 25/22 22/16             44: 8/4 6/2 6/2 6/2 
 16) 63: 11/5 16/13              31: 4/1 23/22 
 17) 11: 13/12 12/11 11/10 7/6   65: 22/16 16/11 
 18) 52: 8/3* 5/3                61: 25/24 23/17* 
 19) 51:                         66: 17/11 11/5 7/1 7/1 
 20) 55:                         63: 11/5 5/2 
 21) 64: 25/19 19/15             31: 5/2 24/23 
 22) 22: 15/13 10/8 6/4 4/2*     66: 
 23) 51: 8/3 3/2                 66: 
 24) 65: 13/7 22/17              42: 
 25) 52: 17/12 7/5               66: 
 26) 54: 12/7 5/1                51: 25/24* 
 27) 54:                         63: 5/2 
 28) 61: 25/19 7/6               42: 5/1 4/2 
 29) 21: 19/17 22/21*            66: 
 30) 52: 6/1* 17/15              66: 
 31) 62: 7/1 7/5                 66: 
 32) 65: 21/15 15/10             66: 
 33) 42: 15/11 11/9              66: 
 34) 62: 10/4 9/7                66: 
 35) 44: 7/3 4/0 4/0 4/0         66: 
 36) 55: 6/1 5/0 5/0 5/0         52: 25/20 
 37) 62: 6/0 3/1                 62: 25/19 19/17 
 38) 53: 3/0 3/0                 21: 20/18 17/16 
 39) 31: 2/0 1/0                 32: 16/13 13/11 
 40) 66: 2/0 1/0 1/0 1/0         
      Wins 2 points              

 
