Game8
 Ablasor : 8                            DrDegge : 10
  1) 62: 24/18 13/11                    53: 8/3 6/3
  2) 63: 24/18 13/10                    53: 24/21 13/8
  3) 65: 11/5 10/5                      51: 13/8 6/5
  4)  Doubles => 2                       Takes
  5) 43: 8/4* 4/1*                      42: bar/23 bar/21
  6) 41: 6/2* 2/1                       63: bar/22 21/15
  7) 43: 13/10* 13/9                    54: bar/16*
  8) 32: bar/20*                        42: bar/23 16/12*
  9) 22: bar/21 5/3*(2)                 43: bar/21 8/5*
  10) 53: bar/20* 21/18                 21: bar/23 13/12
  11) 41: 20/15                         44: 12/4(2)
  12) 63: 18/15 10/4*                   43: bar/21* 21/18
  13) 33: Cannot Move                   21: 18/15
  14) 33: Cannot Move                   11: 13/11(2)
  15) 42: bar/23 15/11                  11: 15/14* 11/10* 3/2*(2)
  16) 54: bar/20                        51: 10/5* 6/5
  17) 42: Cannot Move                   63: 23/20 11/5
  18) 62: Cannot Move                   42: 20/16 8/6
  19) 21: bar/24                        33: 16/10 4/1*(2)
  20) 32: bar/22                        51: 10/9 8/3*
  21) 53: bar/22*                       55: bar/20 14/4 9/4
  22) 63: bar/22                        63: 23/14
  23) 65: Cannot Move                   61: 20/14 5/4
  24) 65: Cannot Move                   42: 14/8
  25) 31: bar/22 6/5                    51: 14/8
  26) 41: 22/18 6/5                     42: 8/2
  27) 44: 18/10 8/4(2)                  52: 6/1 4/2
  28) 55: 18/8(2)                       52: 6/4 6/1
  29) 21: 10/7                          42: 8/6 8/4
  30) 52: 8/6 7/2                        Doubles => 4
  31)  Drops                             Wins 2 point


 
