Game7
 Akiko Yazawa : 3                      Jazz : 7
  1) 62: 24/18 13/11                   64: 24/14*                        
  2) 32: Bar/22 13/11*                 31: Bar/22 8/7*                   
  3) 53: Bar/20 6/3*                   53: Bar/22* 6/1*                  
  4) 51: Bar/20 Bar/24*                64: Bar/21 13/7                   
  5) 51: 22/16                         21: 22/20 21/20                   
  6) 32: 16/11                         61: 24/23 13/7                    
  7) 62: 24/16                         52: 13/8 6/4                      
  8) 53: 16/8                          42: 23/21 8/4                     
  9) 51: 8/2                           51: 21/16 7/6                     
 10) 61: 13/7 8/7                      65: 13/8 13/7                     
 11) 32: 11/8 11/9*                    63: Bar/16*                       
 12) 52: Bar/20 6/4                    61: 16/9                          
 13) 51: 20/15 8/7                     62: 9/3 6/4                       
 14) 41: 7/2                           42: 7/3 4/2                       
 15) 43: 15/8                          65: 8/2 6/1                       
 16) 66: 20/14(2) 13/7(2)              43: 8/1                           
 17) 65: 7/1 6/1                       64: 20/10                         
 18) 55: 14/4(2)                       53: 20/15 8/5                     
 19) 62: 8/2 7/5                       21: 7/6 7/5                       
 20)  Doubles => 2                      Takes                            
 21) 51: 8/3 7/6                       43: 15/12 10/6                    
 22) 44: 8/Off 7/3 4/Off               31: 12/9 6/5                      
 23) 43: 4/Off 3/Off                   44: 9/5 6/2 4/Off(2)              
 24) 65: 6/Off 5/Off                   62: 6/Off 2/Off                   
 25) 65: 6/1 6/Off                     61: 6/Off 1/Off                   
 26) 42: 4/Off 2/Off                   62: 5/Off 2/Off                   
 27) 31: 3/Off 1/Off                   42: ????                          
      Wins 2 point



 
