Game7
 Mads Andersen : 8               Stu Dunkin : 4
  1)                             63: 24/18 18/15 
  2) 51: 13/8 24/23              54: 24/20 20/15 
  3) 65: 24/18 23/18             54: 13/8 8/4 
  4) 64: 13/7 8/4                64: 8/2 6/2 
  5) 63: 13/7 7/4                62: 13/11 11/5 
  6) 21: 7/5 6/5                 63: 13/10 10/4 
  7) 61: 8/2 6/5                 54: 6/1 5/1 
  8) 21: 5/3 3/2                 53: 6/1 4/1 
  9) 65: 13/7 8/3                31: 6/3 4/3 
 10) 41: 8/4 4/3                 52: 8/3 8/6 
 11) 65: 13/7 6/1                42: 6/2 15/13 
 12) 62: 18/16 16/10*            42: 
 13) 63: 7/1 18/15               43: 
 14) 43: 15/11 7/4               43: 
 15) 43: 10/6 11/8               32: 
 16) 32: 8/5 4/2                 51: 
 17) 51: 6/1 1/0                 43: 
 18) 43: 4/0 4/1                 54: 25/21 13/8 
 19) 52: 5/0 2/0                 51: 13/8 13/12 
 20) 54: 6/1 6/2                 42: 12/8 8/6 
 21) 64: 5/0 5/1                 63: 21/15 15/12 
 22) 53: 3/0 3/0                 62: 12/6 8/6 
 23) 63: 2/0 2/0                 61: 8/2 1/0 
 24)  Doubles => 2                Drops
      Wins 1 point               

 
