Game11
 Schiemann : 10                  Andersen : 13
  1) 51: 13/8 24/23              66: 24/18 24/18 13/7 13/7 
  2) 11: 24/23 23/22 23/22 6/5   63: 13/7 7/4 
  3) 51: 22/21* 21/16            53: 25/20* 6/3* 
  4) 41: 25/21 25/24             54: 8/3 20/16 
  5) 65: 8/2 21/16               41: 16/15 15/11 
  6) 66: 16/10 16/10 10/4 10/4   22: 18/16 18/16 6/4 6/4 
  7) 41: 6/2 24/23                Doubles => 2
  8)  Takes                      52: 13/8 13/11 
  9) 64: 13/7 7/3                55: 16/11 16/11 7/2* 7/2 
 10) 66:                         41: 11/7 8/7 
 11) 66:                         32: 8/5 7/5 
 12) 66:                         41: 11/7 8/7 
 13) 21: 25/24 13/11             63: 7/1* 11/8 
 14) 51: 25/24* 8/3              54: 25/20 20/16 
 15) 44: 13/9* 13/9 9/5 9/5      66: 
 16) 43: 11/7 7/4                41: 25/24 11/7 
 17) 61: 8/2 4/3                 66: 24/18 8/2 7/1* 7/1 
 18) 66:                         33: 18/15 15/12 12/9 9/6 
 19) 66:                         61: 7/1 6/5 
 20) 63:                         63: 6/0 6/3 
 21) 11:                         43: 5/1 3/0 
 22) 62: 25/19 8/6               65: 5/0 5/0 
 23) 66: 19/13 13/7 7/1 6/0      66: 4/0 4/0 3/0 3/0 
 24) 66: 6/0 6/0 6/0 5/0         66: 2/0 2/0 2/0 1/0 
 25) 66: 5/0 4/0 4/0 3/0         66: 1/0 1/0 1/0 
                                  Wins 2 points

 
