Game1
 Antonio : 0                    minack : 0
  1)                             52: 13/8 24/22              
  2) 63: 24/18 13/10             55: 8/3 8/3 6/1* 6/1        
  3) 54: 25/21 18/13             43: 22/15*                  
  4) 62: 25/23 21/15             Doubles => 2
  5) Takes                       11: 15/13 3/2* 3/2          
  6) 61:                         52: 13/8 24/22              
  7) 51: 25/20 15/14             61: 13/7 8/7                
  8) 53: 8/3* 6/3                53: 25/20 8/5*              
  9) 44: 25/17* 17/13 14/10      33:                         
 10)  Doubles => 4               Takes                      
 11) 64: 13/7 10/6               31: 25/24 13/10             
 12) 41: 6/5* 5/1*               64: 25/21                   
 13) 22: 13/11 13/11 6/4* 6/4    52: 25/20 25/23             
 14) 65: 8/2* 7/2                54: 25/20 7/3               
 15) 41: 13/8                    62: 10/4 7/5                
 16) 53: 11/6 11/8               54: 13/8 13/9               
 17) 53: 13/8 4/1                43: 8/4 6/3                 
 18) 55: 13/3 8/3 8/3            62: 9/1                     
 19) 32: 4/1 3/1                 55: 20/10 20/10             
 20) 43: 8/4 8/5                 42: 10/6 10/8               
 21) 54: 5/0 4/0                 31: 8/5 1/0                 
 22) 21: 2/0 1/0                 42: 4/0 2/0                 
 23) 31: 3/0 1/0                 52: 5/0 2/0                 
 24) 21: 2/0 1/0                 32: 3/0 6/4                 
 25) 21: 6/4 1/0                 65: 6/0 5/0                 
 26) 43: 4/0 3/0                 53: 5/0 3/0                 
 27) 43: 6/2 3/0                 33: 6/0 4/1 4/1             
 28) 32: 3/0 2/0                 44: 1/0 1/0 1/0 1/0         
                                  Wins 4 points 

 
