Game1
 Atlas : 0                              maquisard : 0
  1) 32: 24/21 13/11                    62: 24/18 6/4*
  2) 31: bar/21*                        42: bar/23 18/14*
  3) 32: bar/22 13/11*                  63: bar/22 24/18
  4) 43: 11/7* 6/3*                     64: bar/21
  5) 65: 8/3 8/2*                       52: bar/23* bar/20
  6) 43: bar/21 8/5*                    62: bar/23 21/15
  7) 21: 22/21 7/5                      54: 15/11 13/8
  8) 11: 6/4(2)                         64: 13/7 11/7
  9) 41: 24/20 21/20                    54: 8/3 6/2
  10) 32: 13/8                          53: 13/8 6/3
  11) 32: 13/8                          53: 23/15
  12) 43: 20/16 13/10*                  42: bar/23 13/9*
  13)  Doubles => 2                      Drops
  14)  Wins 1 point                     

 
