Game7
 Nack Ballard : 7                Mads Andersen : 3
  1)                             42: 8/4 6/4 
  2) 62: 24/18 13/11             42: 13/9 9/7* 
  3) 31: 25/24 13/10             65: 13/7 13/8 
  4) 33: 8/5 8/5 6/3 6/3         53: 8/3 6/3 
  5) 62: 10/4 6/4                33: 13/10 13/10 8/5 8/5 
  6) 65: 13/7 13/8               61: 24/18* 24/23 
  7) 54:                         51: 18/13 13/12* 
  8) 31: 25/24                   43: 12/8 8/5 
  9) 41: 25/24 11/7              66: 10/4 10/4 
 10) 52: 7/2* 8/6                32: 25/23* 5/2 
 11) 64:                         51: 23/18 18/17* 
 12) 53:                         54: 7/2 17/13 
 13) 61: 25/24                   64: 13/7 6/2 
 14) 32:                         62: 7/5 
 15) 63:                         54: 7/3 5/0 
 16) 22:                         61: 6/0 6/5 
 17) 51: 25/24 24/19             21: 5/3 3/2 
 18) 66: 24/18 24/18 19/13 18/12 61: 5/0 5/4 
 19) 32: 12/9 9/7                61: 4/0 4/3 
 20) 63: 13/7 18/15              65: 4/0 4/0 
 21) 21: 15/13 13/12             66: 4/0 3/0 3/0 3/0 
 22) 54: 24/19 19/15             43: 3/0 2/0 
 23) 64: 24/18 12/8              21: 2/0 2/1* 
 24) 54: 25/20 20/16             31: 2/0 1/0 
                                  Wins 2 points

 
