Game5
 Liz Barker : 3                  Lise Howard : 3
  1)                             45: 13/8 13/9 
  2) 42: 8/4 6/4                 35: 8/3 6/3 
  3) 43: 13/9 13/10              31: 8/5 6/5 
  4) 55: 13/8 9/4 8/3 8/3        41: 13/9 6/5 
  5) 41: 13/9 9/8                11: 13/12* 13/12 8/7 8/7 
  6) 32: 25/23 24/21             62: 12/6 6/4* 
  7) 61: 25/24 23/17              Doubles => 2
  8)  Takes                      53: 12/7 7/4 
  9) 61: 17/11 11/10             64: 24/18 18/14 
 10) 41: 6/2 2/1*                32: 25/23 23/20 
 11) 43: 8/5* 5/1                51: 25/20 14/13 
 12) 41: 10/6 6/5*               22: 25/23 13/11 11/9 9/7 
 13) 62: 8/2* 4/2                53: 25/20* 20/17 
 14) 43:                         52: 9/4 17/15* 
 15) 52: 25/23                   53: 7/2* 5/2 
 16) 65:                         61: 9/3 7/6 
 17) 54:                         54: 7/2 15/11 
 18) 43:                         54: 11/6 4/0 
 19) 63:                         64: 6/0 6/2 
 20) 41: 25/24                   31: 5/2 5/4 
 21) 51: 25/20 6/5               52: 2/0 
 22) 64: 24/18 18/14             53: 3/0 
 23) 41: 14/10 10/9              51: 6/5* 5/0 
 24) 62: 25/19* 19/17            54: 25/20* 20/16* 
 25) 53: 25/20                   31: 16/13 4/3 
 26) 51: 25/24 17/12*            64: 
 27) 41: 24/20 20/19             41: 
 28) 41: 19/15 15/14             53: 25/20 20/17 
 29) 41: 12/8* 14/13             54: 25/20 20/16 
 30) 42: 13/9* 8/6               43: 
 31) 53: 20/15 15/12             44: 
 32) 21: 12/10 6/5               22: 
 33) 43: 9/5 10/7                52: 
 34)  Doubles => 4                Drops
      Wins 2 points              

 
