Game8
 depondi,1768 : 4                 Bjornar,1796 : 10
  1)                             56: 24/18 18/13
  2) 55: 6/1 6/1 8/3 8/3         25: 25/20 13/11
  3) 51: 6/5 13/8                42: 25/21 13/11
  4) 14: 8/4 5/4                 34: 
  5)  Doubles => 2                Takes
  6) 13: 13/10 24/23             55: 25/20 20/15 6/1 6/1
  7) 63: 25/22                   26: 15/9 11/9
  8) 63: 25/22 13/7              36: 11/5 8/5
  9) 26: 23/21 21/15             63: 13/7 13/10
 10) 55:                         65: 13/7 13/8
 11) 43: 25/22 13/9              64: 10/4 8/4
 12) 53: 13/8 8/5                52: 9/4 9/7
 13) 53: 9/4 8/5                 63: 8/2 8/5
 14) 56: 22/16 7/2               45: 7/2 6/2
 15) 12: 4/2 16/15               45: 6/1 6/2
 16) 63: 15/9 9/6                64: 7/1 5/1
 17) 15: 22/17 17/16             35: 7/2 4/1
 18) 65: 16/10 6/1               54: 5/0 5/1
 19) 23: 10/7 7/5                42: 4/0 4/2
 20) 43: 22/18 18/15             52: 2/0 2/0
 21) 32: 15/12 12/10             54: 2/0 2/0
 22) 23: 10/7 7/5                33: 2/0 2/0 1/0 1/0
 23) 51: 5/0 1/0                 34: 1/0 1/0
 24) 41: 4/0 1/0                 66: 1/0 1/0 1/0
                                  Wins 2 points
