Game4
 BrendanBurge : 4                       Area51 : 2
  1)                                    62: 24/18 13/11
  2) 32: 24/21 13/11                    61: 11/5 6/5
  3) 65: 13/7* 6/1*                     32: bar/23 bar/22
  4) 64: 21/15 11/7                     51: 23/22 13/8
  5) 51: 15/10 8/7                      64: 8/2 6/2
  6) 41: 13/9 10/9                      42: 8/4 6/4
  7) 31: 6/2                            11: 22/20 8/7(2)
  8) 22: 24/22 7/5* 5/3* 3/1            63: bar/22
  9) 51: 8/3* 3/2                       43: bar/22 bar/21
  10) 52: 9/4* 6/4                      62: Cannot Move
  11)  Doubles => 2                      Drops
  12)  Wins 1 point                     

 
