Game4
 BrendanBurge : 1                       Lyurix : 3
  1) 43: 24/21 13/9                     62: 24/16*
  2) 52: bar/23 21/16                   11: 24/22 6/5(2)
  3) 61: 16/9*                          62: bar/23 22/16*
  4) 21: bar/23 6/5                     61: 13/7 8/7
  5) 43: 13/9* 8/5                      21: bar/24 13/11
  6) 55: 8/3(2) 6/1*(2)                 62: bar/23 13/7
  7) 32: 24/21 23/21                    62: 13/11 13/7
  8) 66: 21/15(2) 13/7(2)               63: 11/8 11/5
  9) 52: 23/16                          32: 7/4 6/4
  10)  Doubles => 2                      Drops
  11)  Wins 1 point                     

 
