Game4
 CTrencher : 2                          dakapes : 6
  1)                                    64: 24/18 13/9
  2) 51: 13/7*                          11: bar/23 6/5(2)
  3) 52: 24/22 7/2*                     61: bar/24 9/3*
  4) 21: bar/22*                        52: bar/23* 8/3*
  5) 65: Cannot Move                    53: 13/10 8/3
  6) 21: bar/24 bar/23                  54: 13/8 6/2*
  7) 43: bar/21 24/21                   32: 24/21 23/21
  8) 53: 24/21 13/8                     63: 24/15
  9) 31: 8/5 6/5                        43: 15/8
  10) 52: 21/14                         31: 10/7 8/7
  11) 53: 8/3 6/3                       52: 13/11* 7/2
  12) 31: bar/21                        31: 11/7
  13) 44: 13/5 13/9(2)                  32: 13/8
  14) 63: 21/15 5/2                     51: 7/6 7/2
  15) 65: 21/16 21/15                   65: 8/3 8/2
  16) 52: 16/9                          44: 8/4 6/2 5/1(2)
  17) 43: 9/2                           41: 6/1
  18)  Doubles => 2                      Drops
  19)  Wins 1 point                     

 
