Game20
 Carlston : 15                   Schiemann : 20
  1) 62: 24/18 13/11             51: 13/8 8/7* 
  2) 32: 25/22 24/22             61: 13/7 24/23 
  3) 53: 8/3 6/3                 42: 8/4 6/4 
  4) 66: 22/16 22/16 13/7 13/7   13: 8/5 6/5 
  5) 51: 8/3 8/7                 62: 13/7 23/21 
  6) 13: 11/8 8/7                11: 24/23 21/20 7/6 6/5 
  7) 51: 7/2* 3/2                13: 25/24 24/21 
  8) 53: 7/2 6/3                 51: 8/3 21/20 
  9) 42: 6/2 3/1                 26: 7/1 5/3 
 10) 51: 7/2 7/6                 22: 7/5 6/4 5/3 3/1 
 11) 62: 16/10 10/8              53: 20/15 20/17* 
 12) 66:                         36: 15/9* 9/6 
 13) 66:                         13: 13/10 10/9 
 14) 55:                         54: 13/8 9/5 
 15) 11:                         66: 17/11 11/5 8/2 6/0 
 16) 62: 25/23*                  64: 25/21 21/15 
 17) 55:                         63: 15/9 5/2* 
 18) 25: 25/23*                  55: 25/20 20/15 15/10 10/5 
 19) 23: 25/23 13/10             52: 9/4 5/3 
 20) 54: 10/5 13/9               54: 5/0 4/0 
 21) 43: 9/5 6/3                 23: 6/3 6/4 
 22) 21: 3/1 2/1                 13: 3/0 1/0 
 23) 21: 3/1 2/1                 32: 4/1 3/1 
 24) 41: 23/19 19/18             42: 5/1 5/3 
 25) 62: 18/12 12/10             53: 4/0 3/0 
 26) 23: 10/7 7/5                33: 4/1 4/1 3/0 3/0 
                                  Wins 1 point and the match
