Game9
 Levermann : 9                   Chamanara : 9
  1) 54: 13/8 24/20              55: 8/3 8/3 6/1* 6/1 
  2) 21: 25/23 6/5                Doubles => 2
  3)  Takes                      65: 24/18 13/8 
  4) 53: 13/8 8/5                31: 8/5* 6/5 
  5) 52: 25/23 6/1*              53: 25/22 13/8 
  6) 53: 8/3* 6/3                53: 
  7) 41: 13/9 8/7*               11: 25/24* 25/24 24/23 24/23 
  8) 41: 25/21 7/6               61: 13/7 7/6 
  9) 43: 21/18 18/14             31: 13/10 6/5 
 10) 41: 13/9 13/12*             61: 25/24 10/4 
 11) 54: 14/9 12/8               62: 23/21 21/15 
 12) 65: 8/2* 6/1*               41: 25/21 25/24* 
 13) 11:                         63: 24/18 21/18 
 14) 41: 25/21* 9/8              66: 
 15) 66: 21/15 15/9 9/3 8/2      44: 25/21 15/11 11/7 7/3 
 16) 43: 8/4* 8/5                42: 25/21* 3/1 
 17) 22: 25/23 23/21 23/21 23/21 55: 18/13 18/13 13/8 13/8 
 18) 53: 9/4* 21/18              42: 25/21* 8/6 
 19) 61:                         43: 21/17 17/14 
 20) 55:                         52: 14/9 9/7* 
 21) 31:                         51: 8/3 7/6 
 22) 51:                         21: 8/6 8/7 
 23) 31:                         64: 7/3 6/0 
 24) 51:                         63: 6/0 3/0 
 25) 43: 25/21                   51: 6/1 1/0 
 26) 42: 25/23 21/17             63: 6/0 6/3 
 27) 21: 17/15 5/4               51: 5/0 1/0 
 28) 43: 15/11 11/8              61: 5/0 1/0 
 29) 55: 21/16 16/11 11/6 9/4    66: 5/0 3/0 3/0 3/0 
 30) 62: 21/15 15/13             31: 3/0 1/0 
                                  Wins 2 points and the match
