Game2
 Ciuffo : 1                             shadowtnt : 0
  1)                                    65: 24/13
  2) 53: 8/3 6/3                        64: 24/14
  3) 11: 24/22 6/5(2)                   41: 13/8
  4) 63: 13/10 13/7                     66: 14/8 13/7(3)
  5) 62: 24/22 10/4                      Doubles => 2
  6)  Takes                             22: 13/11(2) 6/4(2)
  7) 61: 13/12 13/7                     55: 11/1(2)
  8) 65: 13/8 12/6                      62: 8/6 8/2
  9) 51: 8/2                            32: 8/5 7/5
  10) 51: 8/2                           65: 7/2 7/1
  11) 63: 7/4 7/1                       65: 8/2 6/1
  12) 42: 8/2                           21: 8/5
  13) 52: 22/15                         31: 6/3* 3/2
  14) 62: Cannot Move                   11: 6/4 6/5 1/off
  15) 54: Cannot Move                   41: 4/off 1/off
  16) 61: bar/18                        32: 5/off
  17) 64: 18/12 15/11                   21: 2/off 1/off
  18) 21: 12/9                          41: 4/off 1/off
  19) 42: 11/5                          66: 5/off(3) 4/off
  20) 52: 9/4 2/off                     61: 2/1 2/off
  21) 63: 6/off 3/off                   32: 2/off 1/off
  22)                                    Wins 2 point


 
