Game5
 Ciuffo : 2                             snarheim : 5
  1)                                    31: 8/5 6/5
  2) 43: 24/21 13/9                     31: 24/21 6/5
  3) 42: 8/4* 6/4                       41: bar/20
  4) 64: 21/15 13/9                     54: 24/20 13/8
  5) 43: 15/8                           41: 8/4 5/4
  6) 62: 24/16                          65: 20/9*
  7) 62: bar/23 8/2                     41: 13/9 6/5
  8) 54: 23/14                          64: 20/10
  9) 61: 14/8 6/5                       62: 13/7 8/6
  10) 31: 8/7 8/5                       43: 10/6 9/6
  11) 55: 13/3 13/8(2)                  66: 13/1 13/7 9/3
  12) 31: 8/5 7/6                        Doubles => 2
  13)  Takes                            64: 8/2 7/3
  14) 51: 9/4 8/7                       41: 7/3 1/off
  15) 31: 8/5 7/6                       31: 6/5 3/off
  16) 42: 9/5 2/off                     53: 5/off 3/off
  17) 65: 6/off 5/off                   32: 3/off 2/off
  18) 31: 4/off                         43: 6/3 4/off
  19) 61: 6/off 5/4                     54: 5/off 4/off
  20) 53: 5/off 3/off                   42: 6/off
  21) 52: 6/4 5/off                     43: 6/2 3/off
  22) 63: 6/3 6/off                     66: 6/off 5/off(2) 2/off
  23)                                    Wins 2 point


 
