Game7
 CroatianFish : 9                       branco1304 : 3
  1)                                    61: 13/7 8/7
  2) 63: 24/15                          54: 24/20 6/1*
  3) 11: bar/24* 8/7 6/5*(2)            44: bar/21(2) 13/9(2)
  4) 44: 15/7 13/9(2)                   33: 8/5(2) 6/3(2)
  5) 22: 13/9 13/11(2)                  41: 13/8
  6) 32: 24/21 9/7                      21: 7/4*
  7) 31: bar/21*                        41: bar/24 8/4*
  8) 53: Cannot Move                    55: 13/3 9/4(2)
  9)  Doubles => 2                       Takes
  10) 32: bar/23 11/8                   22: 24/22(2) 7/5 4/2*
  11) 63: Cannot Move                   33: 6/3 5/2 4/1(2)
  12) 66: bar/19* 19/7 11/5             32: bar/22 3/1
  13) 61: 8/2 7/6                       63: 21/12
  14) 62: 7/1 6/4*                      42: bar/21* 12/10
  15) 52: Cannot Move                   61: 22/15
  16) 32: Cannot Move                   32: 15/10
  17) 62: bar/17                        61: 22/21 10/4
  18) 52: 17/15* 6/1                    64: bar/15
  19) 53: 15/10* 5/2                    54: bar/21
  20) 21: 10/7                          53: 4/1
  21) 43: 9/6 9/5                       52: 21/14
  22) 63: 8/5 8/2                       55: 22/7 14/9
  23) 32: 7/5 6/3                       21: 9/6
  24) 52: 7/5 7/2                       61: 21/15 7/6
  25) 53: 6/3 6/1                       62: 15/7
  26) 43: 5/2 5/1                       21: 7/4
  27) 61: 5/off 1/off                   53: 21/13
  28) 43: 5/1 3/off                     22: 13/5
  29) 42: 5/1 2/off                     33: 6/off 3/off(2)
  30) 53: 5/off 3/off                   33: 6/off 5/2 3/off
  31) 54: 2/off(2)                      42: 4/off 2/off
  32) 62: 2/off(2)                      54: 5/1 5/off
  33) 64: 1/off(2)                      63: 2/off(2)
  34) 65: 1/off(2)                      53: 1/off(2)
  35) 65: 1/off                         
  36)  Wins 2 point                     

 
