Game2
 CroatianFish : 0                       lenageur : 4
  1)                                    61: 13/7 8/7
  2) 11: 8/7(2) 6/5(2)                  32: 24/22 24/21
  3) 32: 7/4* 6/4                       62: bar/17*
  4) 61: bar/24 13/7                    51: 22/17 8/7
  5) 42: 24/22 24/20                    63: 17/8
  6) 31: 24/20                          32: 7/4 6/4
  7) 51: 13/8* 8/7                      66: Cannot Move
  8) 63: 22/13                          61: bar/24 13/7
  9) 54: 13/9 13/8                      61: 24/17*
  10) 11: bar/22 9/8*                   64: Cannot Move
  11) 32: 13/8                          11: bar/22 13/12*
  12) 61: bar/24 22/16                  41: 13/9* 9/8
  13) 32: bar/20                        66: 22/4 12/6
  14) 64: 20/14 7/3                      Doubles => 2
  15)  Takes                            54: 13/4
  16) 52: 14/12 8/3                     32: 7/4 6/4
  17) 42: 12/6                          66: 8/2(2) 7/1*(2)
  18) 52: bar/20 8/6                    61: 8/2 1/off
  19) 42: 20/14                         53: 6/1 4/1
  20) 33: 14/5 7/4                      64: 6/off 4/off
  21) 33: 20/8                          11: 6/5*(2) 4/3(2)
  22) 32: Cannot Move                   53: 5/2 5/off
  23) 65: bar/14                        43: 4/off 3/off
  24) 61: 14/8 7/6                      62: 4/off 2/off
  25) 64: 8/4 8/2                       64: 3/off 2/off
  26) 54: 6/2 6/1                       44: 2/off(2) 1/off(2)
  27) 21: 2/off 1/off                   53: 1/off
  28)                                    Wins 2 point


 
