Game5
 Malcolm Davis : 7               Steve Sax : 0
  1) 26: 24/18 13/11             41: 24/20 8/7* 
  2) 51: 25/20 6/5*              31: 25/22 6/5* 
  3) 56: 25/20* 11/5             63: 25/22 13/7 
  4) 21: 24/22 6/5               62: 13/7 7/5* 
  5) 63: 25/22 22/16             62: 13/7 7/5 
  6) 33: 13/10 13/10 10/7 10/7   43: 13/9* 6/3* 
  7) 21: 25/23 25/24             51: 9/4 4/3 
  8) 63: 24/21 21/15             53: 13/10* 10/5 
  9) 36:                         21: 6/4 5/4 
 10) 54:                          Doubles => 2
 11)  Takes                      53: 24/21 21/16 
 12) 42: 25/23 13/9*             12: 25/23 22/21 
 13) 44: 13/9 8/4* 6/2* 5/1      22: 25/23* 25/23 23/21* 23/21 
 14) 63:                         55: 8/3 8/3 6/1 6/1 
 15) 61: 25/19                   21: 7/6* 6/4 
 16) 64: 25/19                   41: 7/3 22/21 
 17) 11:                         61: 21/15 15/14 
 18) 32: 25/23 19/16             66: 21/15 21/15 15/9* 15/9 
 19) 51:                         54: 14/9 9/5 
 20) 63: 25/19 9/6               43: 5/1 4/1 
 21) 62: 23/17 19/17             43: 9/5 9/6 
 22) 52: 9/4 6/4                 56: 6/0 5/0 
 23) 61: 17/11 17/16             42: 5/1 5/3 
 24) 54: 11/6 16/12              31: 4/1 4/3 
 25) 63: 12/6 8/5                66: 3/0 3/0 3/0 3/0 
 26) 66: 23/17 17/11 11/5 8/2    53: 3/0 3/0 
 27) 11: 23/22* 22/21 5/4 2/1    23: 25/22 
 28) 66: Illegal play (15;0;1;0;0;Steve Sax;Malcolm Davis;0;0;7;2;-1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;-4;-3;-3;1;0;-4;0;5;3;) 53: 22/17 17/14* 
 29) 43: 25/22 6/2               12: 14/12 12/11 
 30) 41: 6/2 4/3                 32: 11/8 8/6 
 31) 55: 22/17 17/12 12/7 7/2     Wins 2 points

 
