Game13
 Malcolm,1890 : 9                GBauer,1823 : 9
  1) 21: 13/11 6/5               66: 24/18 24/18 13/7 13/7 
  2) 62: 11/5 24/22              31: 8/5 6/5 
  3) 32: 6/3 24/22               11: 6/5 6/5 5/4 5/4 
  4) 43: 13/9 9/6                63: 13/7 7/4 
  5) 54: 13/8 8/4                64: 18/14 14/8 
  6) 51: 8/3 8/7*                43: 25/21* 21/18* 
  7) 52: 25/23                   44: 18/14 14/10 6/2* 6/2 
  8) 51: 25/24                   51: 10/5 8/7 
  9) 43: 25/22 8/4               66: 13/7 13/7 7/1* 7/1 
 10) 41:                         44: 8/4 5/1 5/1 5/1 
 11)  Doubles => 2                Takes
 12) 62: 25/19 19/17*            32: 25/23 7/4 
 13) 32: 22/19 6/4               43: 4/1 
 14) 61: 19/13 13/12             61: 23/17 17/16 
 15) 43: 13/9* 17/14             31: 25/24 4/1 
 16) 22: 13/11 11/9 9/7 9/7      31: 4/1 24/23 
 17) 32: 22/19 14/12             32: 4/1 4/2 
 18) 54: 7/2* 6/2                31: 25/24 7/4 
 19) 21: 12/10 22/21*            54: 
 20) 33: 21/18* 10/7 7/4 4/1*    51: 25/24* 
 21) 61: 25/19 12/11             62: 
 22) 65: 7/1* 11/6               65: 
 23) 41: 6/2 2/1                 66: 
 24) 53: 19/14 14/11             66: 
 25) 65: 18/12 19/14             66: 
 26) 55: 14/9 12/7 11/6 9/4      66: 
 27) 43: 6/2 7/4                 66: 
 28) 33: 6/3 6/3 3/0 3/0         53: 
 29) 21: 4/2 4/3                 52: 
 30) 41: 5/1 5/4                 63: 25/19 
 31) 53: 4/0 3/0                 61: 25/19 
 32) 32: 4/1 4/2                 44: 25/21 21/17 19/15 15/11 
 33) 55: 3/0 3/0 2/0 2/0         11: 19/18 18/17 17/16 16/15 
 34) 51: 2/0 1/0                 61: 17/11 11/10 
 35) 43: 2/0 2/0                 43: 10/6 15/12 
 36) 55: 1/0 1/0 1/0             
      Wins 2 points and the match
