Game12
 Hollederer : 15                 Davis : 4
  1)                             65: 24/18 18/13 
  2) 31: 8/5 6/5                 65: 24/18 18/13 
  3) 64: 13/7 24/20              61: 13/7 8/7 
  4) 51: 13/8 8/7                31: 8/5* 6/5 
  5) 21: 25/23 24/23              Doubles => 2
  6)  Takes                      41: 13/9 9/8 
  7) 31: 7/4 6/5                 41: 13/9 6/5 
  8) 31: 13/10 5/4               54: 13/8 13/9 
  9) 54: 8/3 7/3                 65: 13/7 13/8 
 10) 65: 13/7 13/8               62: 9/3 5/3 
 11) 63: 8/2 10/7                66: 9/3 7/1 7/1 7/1 
 12) 65: 8/2 6/1                 31: 8/5 6/5 
 13) 32: 7/4 7/5                 31: 5/4 4/1 
 14) 52: 23/18 18/16             62: 8/2* 8/6 
 15) 52: 25/23* 23/18            31: 25/24* 8/5 
 16) 32: 25/23 4/1*              31: 25/24* 5/2* 
 17) 54: 25/21                   64: 24/18 6/2 
 18) 66:                         55: 18/13 13/8 8/3 5/0 
 19) 66:                         61: 6/0 6/5 
 20) 66: 25/19 19/13 18/12 12/6  43: 5/1 3/0 
 21) 52: 16/11 13/11             65: 5/0 5/0 
 22) 53: 11/6 21/18              22: 3/1 3/1 2/0 2/0 
 23) 64: 18/12 11/7              11: 1/0 1/0 1/0 1/0 
 24) 63: 12/6 7/4                32: 3/0 1/0 
                                    Wins 2 points  

 
