Game9
 Dorn Bishop : 4                       Akiko Yazawa : 10
  1)                                   52: 24/22 13/8                    
  2) 61: 13/7 8/7                      32: 24/22 13/10                   
  3) 62: 24/18 13/11                   22: 22/20(2) 6/4(2)               
  4) 41: 18/13                         21: 13/10                         
  5) 62: 13/11 13/7                    11: 8/5 6/5                       
  6) 66: 13/1(2)                       54: 10/6 10/5                     
  7) 31: 6/2                           51: 8/7 6/1*                      
  8) 21: Bar/24* 24/22                 41: Bar/21 7/6                    
  9) 61: 22/15                         43: 13/9 13/10*                   
 10) 51: Bar/24 7/2                    43: 6/2 5/2                       
 11) 61: 24/18 2/1                     33: 10/7* 9/6 8/5 7/4             
 12) 31: Bar/22 2/1                    63: 21/15 6/3*                    
 13) 54: Cannot Move                    Doubles => 2                     
 14)  Drops                             Wins 1 point



 
