Game3
 DrDegge : 2                            elken : 2
  1) 65: 24/13                          65: 24/13
  2) 52: 24/22 13/8                     52: 13/11 8/3*
  3) 21: bar/22*                        42: bar/21 13/11
  4) 63: 22/13                          64: 13/7 11/7
  5) 55: 8/3(2) 6/1*(2)                 32: bar/23 13/10
  6)  Doubles => 2                       Takes
  7) 51: 8/2*                           42: bar/23* 21/17*
  8) 44: bar/21(2) 13/9 6/2*            44: bar/17 13/9(2)
  9) 65: 21/15* 15/10                   22: bar/23* 17/15* 6/4*(2)
  10) 44: Cannot Move                   64: 11/5 9/5
  11) 42: bar/23                        62: 23/21 15/9
  12) 33: bar/22(2) 13/10(2)            41: 17/16* 6/2*
  13) 43: bar/22                        42: 16/10
  14) 42: bar/23* 13/9                  21: bar/23 21/20
  15) 33: 13/7(2)                       44: 20/16* 16/12 10/2*
  16) 65: Cannot Move                   22: 23/21 8/2
  17) 61: bar/24                        54: 21/16 12/8
  18) 21: bar/24 7/5                    65: 16/5
  19) 53: 10/5 7/4                      43: 8/5 8/4
  20) 65: 22/17 10/4                     Doubles => 4
  21)  Takes                            66: Cannot Move
  22) 52: 17/10                         64: 9/5
  23) 53: 10/2                          11: 9/6 5/4
  24) 65: 22/17 22/16                   41: 7/3 4/3
  25) 51: 17/11                         42: 7/3 5/3
  26) 52: 16/14 11/6                    54: 6/2 5/off
  27) 11: 14/10                         54: 5/off 4/off
  28) 43: 24/20* 20/17                  64: Cannot Move
  29)  Doubles => 8                      Drops
  30)  Wins 4 point                     

 
