Game3
 DrDegge : 4                            sahlen : 4
  1)                                    51: 24/23 13/8
  2) 31: 8/5 6/5                        41: 23/22 13/9
  3) 53: 24/16*                         54: bar/21 6/1*
  4) 41: bar/24* 8/4*                   32: bar/23 bar/22
  5) 33: 13/4 8/5                       43: 13/9* 9/6
  6) 54: bar/20 6/2*                    62: bar/23* 23/17
  7) 11: bar/21                         54: 17/8
  8) 65: 21/15 20/15                    41: 6/1*
  9) 63: bar/16                         51: 8/7 6/1
  10)  Doubles => 2                      Takes
  11) 43: 6/2 5/2                       51: 8/7 8/3
  12) 65: 16/10 15/10                   65: 24/13
  13) 65: 15/4                          41: 7/3 6/5
  14) 61: 13/6                          61: 13/6
  15) 61: 13/6                          21: 7/5 6/5
  16) 65: 10/5 10/4                     64: 8/4 8/2
  17) 62: 13/5                          51: 13/12* 13/8
  18) 66: Cannot Move                   53: 12/4
  19) 42: bar/23* 6/2                   52: Cannot Move
  20) 52: 23/16                         61: bar/18
  21) 63: 16/7*                         53: bar/17
  22) 54: 7/2 4/off                     52: 17/12 8/6
  23) 44: 6/2(3) 4/off                  32: 12/7
  24) 63: 5/2 5/off                     64: 22/12
  25) 61: 5/4 5/off                     32: 12/7
  26) 55: 4/off(3) 2/off                33: 22/10
  27) 21: 2/1 2/off                     11: 10/8 7/6(2)
  28) 44: 2/off(4)                      32: 8/6 3/off
  29) 33: 2/off 1/off                   
  30)  Wins 2 point                     

 
