Game14
 Peter Friberg : 6               Karsten Bredahl : 14
  1)                             53: 8/3 6/3 
  2) 11: 8/7 8/7 6/5 6/5         61: 24/23 23/17* 
  3) 54: 25/21 13/8*             51: 25/24 13/8 
  4) 53: 13/8 24/21              32: 24/21 24/22 
  5)  Doubles => 2                Takes
  6) 64: 13/7 7/3*               11: 25/24 24/23 23/22* 22/21 
  7) 51: 25/20 21/20             42: 8/4* 6/4 
  8) 32: 25/23 23/20             32: 13/10 10/8 
  9) 43: 20/16 16/13             33: 13/10 13/10 4/1* 4/1 
 10) 51: 25/20 13/12*            41: 25/21 3/2 
 11) 43: 13/9 12/9               31: 6/3 3/2 
 12) 64: 20/14 13/9              55: 8/3 8/3 8/3 6/1 
 13) 51: 20/19* 19/14            51: 25/24 10/5* 
 14) 32:                         63: 21/15 5/2 
 15) 21:                         54: 10/5 5/1 
 16) 33:                         43: 15/12 12/8 
 17) 54: 25/20 14/10             51: 8/3 24/23 
 18) 51: 10/5 9/8                62: 21/15 23/21 
 19) 64: 20/14 14/10*            41: 25/21 2/1 
 20) 62: 8/2 10/8                21: 3/1 3/2 
 21) 61: 8/2 14/13               51: 2/1 
 22) 43: 13/9 9/6                55: 
 23) 61: 9/3 9/8                 62: 21/15 15/13 
 24) 11: 8/7 7/6 6/5 6/5         53: 13/8 8/5 
 25) 23: 5/2 5/3                 65: 21/15 21/16 
 26) 65: 7/1 8/3                 65: 15/9 16/11 
 27) 33: 8/5 7/4 3/0 3/0         64: 11/5 9/5 
 28) 66: 6/0 6/0 6/0 5/0         42: 5/1 2/0 
 29) 22: 5/3 2/0 2/0 2/0         54: 5/0 5/1 
 30) 64: 5/0 4/0                 52: 3/0 2/0 
 31) 51: 5/0 1/0                 
      Wins 2 points              

 
