Game4
 PaulvanDyke,1667 : 3             FutureDice,1727 : 1
  1)                             26: 24/18 13/11
  2) 14: 8/7 24/20               35: 25/20 8/5
  3) 25: 25/20 7/5               14: 25/21 25/24
  4) 64: 20/14 14/10             31: 25/22 21/20
  5) 34: 25/21 13/10             31: 24/21 21/20
  6) 54: 24/20 20/15             65: 24/18 18/13
  7) 45: 15/10 6/2               46: 13/7 7/3
  8) 66: 13/7 13/7 13/7 13/7     54: 8/3 8/4
  9) 13: 25/24 24/21             33: 25/22 13/10 13/10 13/10
 10) 34: 21/17 17/14             13: 13/10 6/5
 11) 35: 14/9 9/6                66: 20/14 20/14 10/4 10/4
 12) 52: 10/5 7/5                22: 6/4 6/4 4/2 4/2
 13)  Doubles => 2                Takes
 14) 43: 10/6 10/7               53: 10/5 14/11
 15) 34: 5/1 5/2                 35: 14/9 10/7
 16) 54: 6/1 6/2                 33: 11/8 9/6 7/4 4/1
 17) 36: 7/1 7/4                 55: 6/1 6/1 6/1 8/3
 18) 13: 7/4 7/6                 14: 5/1 5/4
 19) 15: 6/1 2/1                 22: 22/20 20/18 18/16 16/14
 20) 12: 6/4 2/1                 25: 14/9 9/7
 21) 63: 8/2 8/5                 53: 22/17 17/14
 22) 44: 4/0 4/0 4/0 6/2         32: 14/11 7/5
 23) 56: 6/0 5/0                 45: 11/6 4/0
 24) 54: 6/1 2/0                 35: 5/0 3/0
 25) 21: 2/0 1/0                 66: 6/0 4/0 4/0 3/0
 26) 12: 2/0 1/0                 22: 2/0 2/0 3/1 1/0
 27) 24: 1/0 1/0                 43: 1/0 1/0
 28) 14: 1/0 1/0                 23: 1/0 1/0
 29) 16: 1/0                    
      Wins 2 points

 
