Game8
 Nodar Gagua : 3                 Jakob Garal : 12
  1)                             14: 13/9 24/23 
  2) 12: 13/11 24/23             23: 24/21 23/21 
  3) 34: 24/20 23/20             25: 9/4 6/4 
  4) 44: 20/16 20/16 13/9 13/9   15: 13/8 6/5 
  5) 35: 8/3 6/3                 56: 13/7 8/3 
  6) 45: 13/8 13/9               25: 8/3 7/5 
  7) 34: 9/5 8/5                 15: 8/3 3/2 
  8) 44: 11/7 7/3 6/2 6/2        35: 6/1 5/2 
  9) 26: 8/2 8/6                 25: 6/1 5/3 
 10) 45: 16/11 11/7              15: 8/3 3/2 
 11) 45: 16/11 11/7              36: 13/7 13/10 
 12) 44: 9/5 9/5 7/3 7/3         13: 10/7 7/6 
 13) 44: 6/2 6/2 6/2 5/1         14: 21/17 7/6 
 14) 13: 5/2 1/0                 16: 17/11 11/10 
 15) 34: 5/1 5/2                 13: 21/18 6/5 
 16) 25: 3/0 2/0                 45: 18/13 10/6 
 17) 24: 3/0 2/0                 25: 13/8 8/6 
 18) 55: 3/0 3/0 3/0 2/0         25: 5/0 2/0 
 19) 15: 2/0 1/0                 16: 6/0 1/0 
 20) 56: 2/0 2/0                 25: 6/1 2/0 
 21) 16: 2/0 2/1                 12: 2/0 1/0 
 22) 46: 1/0                     
      Wins 1 point               

 
