Game5
 Gambitcello : 4                        Schiemann : 3
  1)                                    63: 24/18 13/10
  2) 31: 8/5 6/5                         Doubles => 2
  3)  Takes                             54: 18/9
  4) 32: 24/22 13/10                    44: 13/5 10/6 9/5
  5) 52: 13/11 13/8                     63: 24/15*
  6) 41: bar/21 11/10*                  51: bar/24 13/8
  7) 65: 22/16 21/16                    43: 8/1*
  8) 65: Cannot Move                    22: 24/22 6/4(3)
  9) 61: bar/24* 24/18                  22: bar/23 6/2 4/2
  10) 42: 18/16 10/6                    33: 13/10(2) 8/5(2)
  11) 61: 13/7 8/7                      44: 10/6(2) 5/1(2)
  12) 63: 16/10 13/10                   33: 8/2 6/3(2)
  13) 52: 10/8 10/5                     32: 23/21 6/3
  14) 66: 16/4*(2)                      11: bar/22 6/5
  15) 52: 6/4 6/1                       63: 22/13
  16) 63: 8/2 6/3*                      32: bar/22* 13/11
  17) 33: Cannot Move                   31: 11/7
  18) 55: Cannot Move                   65: 22/16 7/2
  19) 61: bar/19 4/3                    66: 16/4 5/off(2)
  20) 41: 19/15 7/6                     11: 2/off 1/off(2)
  21) 52: 15/10 8/6                     52: 5/off 2/off
  22) 65: 10/4 8/3                      32: 3/off 2/off
  23) 64: 7/3 6/off                     54: 4/off(2)
  24) 62: 6/off 2/off                   51: 4/off 3/2
  25) 51: 5/off 1/off                   33: 3/off 2/off(2)
  26)                                    Wins 2 point
  27)                                   
