Game4
 Gambitcello : 3                        elken : 1
  1) 53: 8/3 6/3                        66: 24/18(2) 13/7(2)
  2) 52: 24/22 13/8                     61: 13/7 8/7
  3) 65: 22/11                          54: 18/14* 18/13
  4) 21: bar/24 13/11*                  42: bar/21 13/11
  5) 11: 6/4*(2)                        64: Cannot Move
  6) 53: 24/21 11/6                     62: bar/23 7/1*
  7) 41: bar/24* 24/20                  51: bar/20 6/5*
  8)  Doubles => 2                       Takes
  9) 42: bar/21 13/11                   65: 23/18 11/5
  10) 54: 21/16 11/7*                   33: Cannot Move
  11) 42: 13/9 7/5*                     31: bar/24
  12) 62: 13/5                          42: bar/23 13/9*
  13) 22: bar/21 6/2*                   31: bar/24 9/6
  14) 64: 9/5 8/2                       51: 13/8 6/5
  15) 21: 8/6 5/4                       63: 8/2 5/2
  16) 54: 21/16 8/4                     31: 7/4* 6/5
  17) 55: Cannot Move                   54: 8/4 8/3
  18) 65: Cannot Move                   42: 6/2 5/3
  19) 65: Cannot Move                   42: 7/5 7/3
  20) 53: Cannot Move                   11: 5/4 3/1 2/1
  21) 65: Cannot Move                   42: 6/4 6/2
  22) 61: bar/19 4/3                    41: 5/4 5/1
  23) 62: 19/13 16/14                   31: 4/3 4/1
  24) 32: 14/9                          41: 2/1
  25) 63: 13/10 9/3                     42: 3/1
  26) 44: 10/6 4/off(3)                 31: 24/21 4/3
  27) 63: 6/off 3/off                   62: 21/13
  28) 32: 6/1*                          32: Cannot Move
  29) 66: 6/off(2) 5/off(2)             51: bar/24* 24/19
  30) 53: bar/17                        11: 13/9
  31) 42: 17/13 3/1                     53: 19/11
  32) 61: 13/6                          33: 11/5 9/6 3/off
  33) 41: 6/2 1/off                     53: 5/off 3/off
  34) 21: 2/1 2/off                     21: 2/off 1/off
  35) 62: 3/off 2/off                   21: 2/off 1/off
  36) 52: 3/off 1/off                   
  37)  Wins 2 point                     

 
