Game14
 satoshi2104,1681 : 16            Gensoku,1894 : 21
  1) 65: 24/18 18/13             45: 13/8 24/20
  2) 31: 8/5 6/5                 62: 25/23 24/18
  3)  Doubles => 2                Takes
  4) 24: 13/9 9/7                35: 25/22 23/18
  5) 14: 25/21 8/7               16: 25/24 24/18
  6) 25: 25/23 13/8              64: 22/18 8/2
  7) 65: 25/20 21/15             35: 13/10 10/5
  8) 34: 25/21 25/22             66: 8/2 13/7 13/7 13/7
  9) 46: 24/20 22/16             54: 25/21 21/16
 10) 56: 20/14 14/9              31: 25/24 7/4
 11) 22:                         55: 8/3 8/3 6/1 6/1
 12) 43: 25/21 9/6               62: 25/23 24/18
 13) 45: 21/17 13/8              14: 23/22 22/18
 14) 42: 17/13 6/4               33: 18/15 18/15 18/15 18/15
 15) 45: 16/11 11/7              62: 15/9 7/5
 16) 41: 13/9 7/6                45: 15/11 9/4
 17) 41: 8/4 8/7                 51: 6/5 11/6
 18) 63: 13/7 8/5                66: 15/9 15/9 9/3 9/3
 19) 24: 9/5 7/5                  Doubles => 4
 20)  Drops                       Wins 2 points

 
