Game16
 Martha Gjelseth : 13            Arild Idsoe : 12
  1)                             41: 13/9 6/5 
  2) 63: 13/7 7/4                32: 8/5 24/22 
  3) 53: 8/3* 6/3                41: 25/21* 6/5 
  4) 32: 25/22 24/22             33: 24/21 21/18 21/18 9/6 
  5) 43: 13/9 9/6                64: 18/14 14/8 
  6) 21: 24/22 8/7*              65: 25/20 20/14 
  7) 53: 13/8 8/5                 Doubles => 2
  8)  Takes                      62: 14/8 13/11 
  9) 33: 8/5 7/4 6/3 6/3         53: 11/6 13/10 
 10) 43: 22/18 18/15*            62: 25/23 23/17 
 11) 62: 15/9 9/7                34: 17/13 8/5 
 12) 43: 6/2 7/4                 63: 8/2 5/2 
 13) 21: 3/1 3/2                 34: 13/9 9/6 
 14) 62: 13/7 13/11              51: 6/1 6/5 
 15) 52: 11/6 6/4                63: 8/2 8/5 
 16) 61: 7/1 4/3                 52: 13/8 8/6 
 17) 22: 6/4 6/4 4/2 4/2         65: 13/7 7/2 
 18) 62: 22/16 16/14             63: 6/0 5/2 
 19) 54: 14/9 9/5                11: 5/4 4/3* 3/2 2/1 
 20) 66:                         11: 2/1 2/1 1/0 1/0 
 21) 41: 25/21 2/1               62: 6/0 2/0 
 22) 65: 21/15 15/10             11: 2/1 1/0 1/0 1/0 
 23) 54: 10/6 5/0                43: 5/1 6/3 
 24) 31: 3/0 1/0                 51: 5/0 1/0 
 25) 32: 3/0 2/0                 43: 6/2 3/0 
 26) 63: 6/0 3/0                 51: 5/0 2/1 
 27) 21: 2/0 1/0                 41: 6/2 1/0 
 28) 64: 5/0 4/0                 51: 2/0 2/1 
 29) 12: 2/0 1/0                 21: 1/0 
                                  Wins 2 points

 
