Game16
 Jorgen Granstedt : 21           Mario Kuhl : 13
  1) 12: 13/11 24/23             43: 6/2* 13/10 
  2) 66:                         55: 8/3 8/3 6/1* 6/1 
  3) 62: 25/23*                  61: 25/24 8/2* 
  4) 42: 25/21 25/23*            62: 25/23 10/4* 
  5) 41: 25/21* 21/20            43: 25/21 24/21 
  6) 22: 23/21 13/11 11/9 11/9   61: 24/18 24/23 
  7) 61: 13/7* 8/7               63: 25/22 13/7 
  8) 53: 21/18* 18/13            43: 25/22 13/9 
  9) 66: 20/14 14/8 13/7 13/7    33: 23/20 23/20 13/10 13/10 
 10) 66: 13/7 8/2 7/1 7/1        63: 10/4 10/7 
 11) 53: 7/2 9/6                 61: 22/16* 7/6 
 12) 32: 25/23 23/20             31: 9/6 6/5* 
 13) 51: 25/20* 8/7              31: 25/22 6/5* 
 14) 31:                         42: 21/17* 16/14 
 15) 55: 25/20* 25/20 20/15 20/15 22: 
 16) 52: 15/10 6/4*              41: 25/21* 
 17) 63:                         41: 25/21 14/13 
 18) 51: 25/20 15/14             66: 22/16 17/11* 16/10 10/4 
 19) 32: 25/23 23/20             54: 20/15* 15/11 
 20) 53: 25/20 6/3*              52: 25/20 13/11 
 21) 66: 7/1 7/1 7/1             64: 20/14 20/16 
 22) 51: 20/15 3/2                Doubles => 2
 23)  Takes                      65: 16/10* 11/6 
 24) 66:                         65: 21/15 15/10 
 25) 65: 25/20                   64: 14/8 8/4 
 26) 33: 6/3 6/3 6/3 6/3         63: 21/15 6/3 
 27) 62: 20/18 18/12             41: 15/11 3/2 
 28) 31: 12/9 3/2                21: 4/2 11/10 
 29) 22: 20/18 20/18 18/16 18/16 65: 11/5 10/5 
 30) 32: 9/6 3/1                 65: 11/5 6/1 
 31) 43: 16/12 16/13             42: 10/6 10/8 
 32) 43: 12/8 8/5                32: 8/5 2/0 
 33) 32: 13/10 10/8              64: 6/0 4/0 
 34) 62: 8/2 2/0                 21: 2/0 1/0 
 35) 53: 5/0 3/0                 65: 6/0 5/0 
 36) 52: 6/4 4/0                 52: 5/0 4/2 
 37) 43: 3/0 2/0                 61: 5/0 1/0 
 38) 51: 2/0 1/0                 51: 5/0 1/0 
 39) 41: 2/0 1/0                 65: 3/0 3/0 
                                  Wins 2 points

 
