Game22
 Eric Guedj : 18                 David Wells : 17
  1) 46: 24/18 18/14             15: 13/8 24/23 
  2) 43: 14/10 13/10             65: 24/18 23/18 
  3) 65: 24/18 18/13             44: 18/14 18/14 14/10 14/10 
  4) 44: 13/9 13/9 13/9 9/5      61: 10/4 6/5 
  5) 53: 13/8 13/10              53: 10/5 6/3 
  6) 52: 9/4 8/6                 33: 13/10 10/7 8/5 7/4 
  7) 64: 10/4 9/5                22: 13/11 13/11 13/11 8/6 
  8) 41: 8/4 10/9                61: 11/5 5/4 
  9) 41: 9/5 8/7                 55: 11/6 11/6 8/3 8/3 
 10) 63: 10/4 8/5                61: 6/0 6/5 
 11) 51: 7/2 6/5                 25: 5/0 6/4 
 12) 11: 5/4 4/3 2/1 1/0         34: 4/0 3/0 
 13) 63: 6/0 3/0                 25: 5/0 4/2 
 14) 65: 6/0 5/0                 53: 5/0 3/0 
 15) 44: 4/0 4/0 4/0 4/0         63: 6/0 3/0 
 16) 65: 6/0 5/0                 54: 5/0 4/0 
 17) 61: 6/0 5/4                 52: 6/1 2/0 
 18) 61: 6/0 4/3                 54: 6/1 4/0 
 19) 65: 5/0 3/0                 
      Wins 1 point and the match 
