Game24
 Christer Hagenfeldt : 16        Jyri Lammi : 20
  1)                             63: 24/18 13/10 
  2) 64: 13/7* 24/20             42: 25/21 10/8 
  3) 54: 7/2 24/20               31: 21/18 24/23* 
  4) 52: 25/23 13/8              51: 18/13 23/22 
  5) 61: 13/7 8/7                32: 13/10 10/8 
  6) 44: 7/3* 7/3 6/2 6/2        52: 25/20 20/18 
  7) 44: 20/16 20/16 8/4 8/4     21: 8/6 18/17* 
  8) 42: 25/21 23/21             65: 17/11 11/6 
  9) 44: 13/9 13/9 9/5 9/5       43: 6/2 6/3 
 10) 44: 6/2 6/2 5/1 5/1         41: 8/7 7/3 
 11) 63: 21/15 6/3               33: 13/10* 13/10 8/5 5/2 
 12) 53: 25/20 21/18             11: 8/7* 8/7 6/5* 6/5 
 13) 14: 25/21 25/24             31: 7/4* 4/3 
 14) 32:                         41: 6/2 2/1* 
 15) 11: 25/24* 25/24 3/2 2/1    62: 25/19 7/5 
 16) 43: 24/21 21/17             31: 5/2 2/1* 
 17) 42: 25/21 3/1               54: 13/8* 8/4* 
 18) 63:                         41: 5/1 5/4 
 19) 44:                         32: 13/10 10/8 
 20) 11:                         51: 19/14 14/13 
 21) 42:                         61: 13/7 7/6 
 22) 63:                         52: 10/5 5/3 
 23) 62:                         32: 10/7 6/4 
 24) 63:                         42: 7/3 8/6 
 25) 61:                         44: 6/2 6/2 6/2 4/0 
 26) 64: 25/19                   64: 4/0 4/0 
 27) 62: 25/19 19/17             62: 3/0 2/0 
 28) 21: 16/14 19/18             54: 3/0 3/0 
 29) 65: 17/11 11/6              54: 3/0 3/0 
 30) 41: 16/12 14/13             63: 2/0 2/0 
 31) 43: 13/9 9/6                11: 2/1 1/0 1/0 1/0 
 32) 54: 18/13 13/9              41: 2/0 
                                  Wins 2 points

 
