Game2
 Falafel : 0                     Hansen : 1
  1) 46: 24/18 13/9              46: 13/7* 24/20 
  2) 16: 25/24 24/18*            52: 25/20 6/4 
  3) 33: 24/21* 21/18 6/3 6/3    65: 25/20 20/14 
  4) 26: 13/7 9/7                21: 13/11 6/5 
  5) 15: 13/8 8/7                46: 11/5 24/20 
  6) 36: 8/2 7/4                 36: 20/14 8/5 
  7) 66: 13/7 13/7 7/1 7/1       36: 13/10 10/4 
  8) 56: 18/13 13/7              46: 13/7* 8/4 
  9) 56:                         33: 14/11 13/10 11/8 10/7 
 10) 45:                          Doubles => 2
 11)  Drops                       Wins 1 point

 
