Game5
 Heinrich : 3                    Horan : 5
  1) 42: 8/4 6/4                 51: 13/8 6/5 
  2) 21: 13/11 6/5               64: 24/20* 20/14* 
  3) 55: 25/20* 25/20 8/3 8/3    41: 25/24 24/20 
  4) 41: 13/9 6/5*               42: 25/23 24/20* 
  5) 62: 25/23 24/18             32: 23/20 6/4 
  6) 43: 18/14 24/21*            62: 25/23 14/8 
  7) 51: 13/8 9/8                51: 8/3 3/2* 
  8) 53: 25/22 21/16             31: 6/3* 3/2 
  9) 43: 25/21 16/13             51: 13/8 8/7 
 10) 62: 20/14 20/18*            33: 
 11)  Doubles => 2                Takes
 12) 62: 18/16 16/10             61: 25/24 13/7 
 13) 21: 21/20 20/18*            31: 25/24 23/20 
 14) 43: 18/14 10/7              62: 24/18* 20/18 
 15) 54: 25/21 13/8              11: 8/7 8/7 6/5 6/5 
 16) 41: 8/4 14/13               65: 24/18 18/13 
 17) 22: 13/11 13/11 13/11 4/2   21: 13/12 12/10 
 18) 31: 11/8 3/2                41: 10/6 7/6 
 19) 63: 14/8 14/11              52: 13/8 7/5 
 20) 62: 21/15 8/6               62: 18/12 12/10* 
 21) 52:                         43: 18/15 15/11 
 22) 53: 25/22 8/3               32: 13/10 8/6 
 23) 62: 22/16 16/14*            32: 
 24) 65: 14/8 11/6               63: 
 25) 52: 11/6 11/9               43: 
 26) 61: 9/3 3/2                 31: 25/24 10/7 
 27) 22: 8/6 8/6 8/6 6/4         65: 10/4 8/3 
 28) 54: 6/1* 4/0                22: 
 29) 65: 6/0 6/1                 33: 
 30) 55: 6/1 6/1 6/1 6/1         42: 
 31) 21: 2/0 1/0                 61: 25/19 7/6 
 32) 21: 2/0 1/0                 61: 19/13 13/12 
 33) 63: 4/0 3/0                 11: 20/19 19/18 8/7 7/6 
 34) 21: 2/0 1/0                 51: 12/7 7/6 
 35) 52: 4/0 3/1                 
      Wins 4 points              

 
