Game10
 HenningF : 12                          wristy : 12
  1) 41: 24/23 13/9                     63: 24/15
  2) 54: 9/4 8/4                        44: 15/11 13/9(3)
  3) 63: 23/14*                         63: bar/16
  4) 51: 24/23 14/9*                    55: bar/10 6/1
  5) 62: 23/15*                         32: bar/23 13/10*
  6) 21: bar/23 13/12*                  63: bar/16*
  7) 32: bar/23 12/9*                   61: bar/18
  8) 51: 8/7* 7/2*                      62: bar/23*
  9) 44: bar/21 13/9 6/2*(2)            22: Cannot Move
  10) 63: 9/3 6/3                       66: Cannot Move
  11) 32: 13/11 13/10                   11: bar/24(2) 6/5(2)
  12) 22: 23/21 11/7 9/7                44: 24/20(3) 10/6
  13) 21: 23/22 10/8                    63: 20/14 8/5
  14) 51: 22/21 8/3                     22: 9/1
  15) 54: 8/4 7/2                       21: 20/18* 18/17
  16) 52: bar/18                        42: 20/14
  17) 21: 3/1 2/1                       51: 14/8
  18) 21: 4/1                           64: 17/7*
  19) 32: bar/23 21/18*                 64: Cannot Move
  20) 66: 21/15(2) 18/6                 54: bar/20 6/2*
  21) 53: bar/22 6/1                    31: 8/7 5/2
  22) 21: 6/5* 6/4                      65: bar/20* 9/3*
  23) 64: bar/21                        21: 6/4* 4/3
  24) 43: bar/21                        33: 14/11 9/6 7/4* 4/1
  25) 66: Cannot Move                   41: 11/6
  26) 21: Cannot Move                   51: 20/15 6/5
  27) 54: bar/21                        22: 8/4*(2)
  28) 52: Cannot Move                   43: 15/8
  29) 51: Cannot Move                   42: 6/4 6/2
  30) 43: Cannot Move                   21: 8/5
  31) 61: bar/19                        66: 5/off(4)
  32) 66: bar/13 19/13 15/9             53: 4/off 3/off
  33) 33: 15/12 13/10(2) 9/6            22: 4/off 2/off(2)
  34) 51: 12/11 10/5                    62: 4/off 2/off
  35) 21: 6/5 4/2                       54: 3/off 1/off
  36) 61: 11/5 2/1                      63: 1/off(2)
  37)                                    Wins 2 point
  38)                                   
