Game2
 Man Hollederer : 8              Francoi Tardieu : 10
  1)                             65: 24/18 18/13 
  2) 66: 24/18 24/18 13/7 13/7   44: 24/20 20/16 13/9 13/9 
  3) 51: 13/8 6/5                43: 13/9 16/13 
  4) 41: 8/4 6/5                 66: 9/3 9/3 9/3 8/2 
  5) 65: 8/2 7/2                 62: 13/11 11/5 
  6) 51: 8/3 6/5                 63: 13/10 10/4 
  7) 54: 13/8 8/4                44: 13/9 13/9 9/5 9/5 
  8) 52: 13/8 8/6                 Doubles => 2
  9)  Drops                       Wins 1 point

 
