Game12
 Klein : 12                     Hollederer : 10
  1) 12: 13/11 24/23             22: 13/11 13/11 6/4 6/4 
  2) 31: 8/5 6/5                 52: 13/8 24/22 
  3) 65: 24/18 23/18             62: 22/16 16/14* 
  4) 54: 25/20 13/9              44: 13/9 13/9 9/5* 9/5 
  5) 46:                         43: 8/4 24/21 
  6) 35: 25/22 9/4*              54: 25/21* 8/3* 
  7) 53: 25/22*                  63: 25/22 14/8 
  8) 41: 25/24 22/18             32: 21/18 18/16 
  9) 46: 13/9* 9/3*              64: 25/21 
 10) 35: 6/3 18/13               13: 25/24 24/21 
 11) 22: 13/11 13/11 11/9 11/9   11: 6/5 5/4 4/3 4/3 
 12) 65: 24/18 18/13             54: 8/3 6/2 
 13) 13: 13/12 12/9              52: 8/3 8/6 
 14) 55: 18/13 18/13 13/8 8/3    42: 11/7 11/9 
 15) 43: 9/5 5/2                 21: 7/5 3/2 
 16) 61: 13/7 7/6                56: 21/15 15/10 
 17) 61: 13/7 7/6                11: 10/9 9/8 8/7 7/6 
 18) 63: 8/2 8/5                 22: 9/7 7/5 6/4 5/3 
 19) 41: 6/2 5/4*                15: 25/24 6/1 
 20) 31: 4/1* 2/1                22: 
 21) 53: 9/4 4/1                 52: 
 22) 42: 9/5 5/3                 42: 25/21 3/1 
 23) 66: 6/0 6/0 6/0 6/0         55: 21/16 16/11 11/6 5/0 
 24) 32: 3/0 2/0                 13: 1/0 3/0 
 25) 52: 5/0 2/0                 32: 3/0 2/0 
 26) 52: 5/0 3/1                 53: 5/0 3/0 
 27) 64: 3/0 3/0                 22: 6/4 4/2 2/0 2/0 
 28) 11: 1/0 1/0 1/0 1/0         
      Wins 1 point and the match 
