Game5
 morten holm : 0                 kaneko : 10
  1)                             43: 24/20 13/10 
  2) 51: 13/8 6/5*               53: 25/20* 13/10 
  3) 65: 25/20 20/14             52: 20/15 13/11* 
  4) 31: 25/24 13/10*            22: 25/23 24/22 6/4 6/4 
  5) 64: 24/18 18/14*            43: 25/22 10/6 
  6) 61: 13/7 8/7                43: 23/20 20/16 
  7) 33: 14/11 11/8 8/5 8/5      52: 16/11 11/9 
  8) 64: 24/18 18/14             33: 8/5 8/5 6/3 6/3 
  9) 41: 13/9 10/9               62: 13/7 13/11* 
 10) 41: 25/24 6/2               41: 11/7 22/21 
 11) 31: 6/3* 24/23              62: 25/23* 21/15 
 12) 43:                         54: 7/2* 10/6 
 13) 31: 25/24                    Doubles => 2
 14)  Drops                       Wins 1 point

 
