Game4
 holm : 2                        leo : 2
  1) 16: 13/7 8/7                54: 13/8 24/20 
  2) 42: 8/4 6/4                 53: 13/8 20/17* 
  3) 33: 25/22 24/21 6/3 6/3     44: 8/4* 8/4 6/2 6/2 
  4) 63: 25/22 24/18             62: 17/11 13/11 
  5) 54: 13/8 22/18              22: 13/11 13/11 11/9 11/9 
  6) 33: 7/4 7/4 4/1* 4/1        16: 
  7) 62: 13/7 22/20              63: 
  8) 22: 20/18 13/11 13/11 8/6   52: 25/20 20/18* 
  9) 54: 25/20 11/7*             33: 
 10) 31: 11/8 8/7                53: 25/20 20/17 
 11) 61: 7/1 6/5                  Doubles => 2
 12)  Takes                      44: 17/13 13/9 9/5* 9/5 
 13) 22:                         21: 11/9 11/10 
 14) 43: 25/22 22/18             61: 10/4 4/3 
 15) 41: 18/14 7/6               21: 8/6 6/5 
 16) 61: 18/12 6/5               61: 9/3 9/8 
 17) 31: 14/11 11/10             32: 8/5 5/3 
 18) 51: 12/7 7/6                53: 8/3 8/5 
 19) 43: 18/14 14/11             41: 5/1 1/0 
 20) 62: 11/5 18/16              55: 6/1 5/0 5/0 5/0 
 21) 61: 16/10 10/9              41: 4/0 1/0 
 22) 51: 10/5 5/4                54: 6/1 4/0 
 23) 43: 9/6 4/0                 41: 6/2 2/1 
 24) 44: 6/2 6/2 4/0 4/0         31: 3/0 1/0 
 25) 42: 6/2 2/0                 52: 3/0 2/0 
 26) 64: 6/0 5/1                 42: 3/0 2/0 
 27) 44: 5/1 5/1 3/0 3/0         44: 3/0 1/0 
                                  Wins 2 points

 
