Game1
 Holm : 0                        Morel : 0
  1)                             31: 8/5 6/5 
  2) 26: 24/18 18/16             54: 13/8 13/9* 
  3) 54: 25/21 21/16*            55: 25/20 20/15 6/1* 6/1 
  4) 22: 25/23 23/21 6/4 6/4     52: 15/10 10/8 
  5) 22: 13/11 13/11 11/9 11/9   63: 13/7 7/4* 
  6) 52: 25/23 16/11             62: 8/2* 4/2 
  7) 63: 25/22 22/16             44: 24/20 13/9* 8/4 8/4 
  8) 54:                          Doubles => 2
  9)  Drops                       Wins 1 point

 
