Game9
 MortenHolm : 6                  Rohr : 7
  1) 14: 13/9 6/5                46: 24/20* 20/14 
  2) 54: 25/20 24/20             11: 24/23 23/22 22/21 14/13 
  3) 46: 13/7 8/4*               56: 25/20 20/14 
  4) 56: 13/7 9/4                62: 14/8 8/6 
  5) 41: 7/3 6/5                 56: 13/7 7/2 
  6) 24: 8/4 7/5                 46: 8/2 6/2 
  7) 41: 6/2 4/3                 12: 6/4 4/3 
  8) 13: 8/5 5/4                 12: 3/1* 2/1 
  9) 46: 25/21 13/7              51: 13/8 13/12* 
 10) 46: 25/21 7/1               23: 13/10 12/10 
 11) 12: 3/1 3/2                 36: 8/2 6/3 
 12) 33: 21/18 21/18 6/3 6/3     56: 8/2 8/3 
 13) 46: 20/14 14/10             61: 13/12 12/6 
 14) 13: 10/7 7/6                54: 10/5* 5/1 
 15) 46: 25/21 21/15*            55: 
 16) 34: 6/2 15/12*              55: 
 17) 54: 18/13 18/14             63: 25/19 
 18) 35: 14/9 9/6*               45: 
 19) 45: 6/1 12/8                63: 25/19 
 20) 54: 13/8 8/4                55: 
 21) 55: 8/3 5/0 5/0 4/0         62: 25/19 19/17 
 22) 22: 4/2 2/0 2/0 2/0         63: 19/13 13/10 
 23) 52: 4/0 2/0                 21: 17/15 15/14 
 24) 53: 4/0 3/0                 42: 10/6 14/12 
 25) 33: 3/0 3/0 1/0 1/0         51: 12/7 6/5 
 26) 41: 1/0                     
      Wins 2 points              

 
