Game11
 holm : 7                        sax : 13
  1) 46: 24/18 13/9              62: 24/18 18/16* 
  2) 66:                         33: 13/10 10/7* 8/5 8/5 
  3) 65:                         65: 7/1* 6/1 
  4) 51:                         22: 13/11 11/9 6/4 6/4 
  5) 11:                         55: 13/8 13/8 8/3 8/3 
  6) 63:                         41: 9/5 16/15 
  7) 12: 25/23                   22: 13/11 11/9 4/2* 4/2 
  8) 65:                         66: 24/18 15/9 9/3 8/2 
  9) 21:                         24: 18/14 9/7 
 10) 16:                         61: 14/8 7/6 
 11) 15:                         53: 6/1 8/5 
 12) 21:                         34: 6/2 6/3 
 13) 44: 25/21 25/21 25/21 13/9  16: 5/0 1/0 
 14) 32: 8/5 6/4                 36: 5/0 3/0 
 15) 41: 8/4 6/5                 35: 5/0 5/2 
 16) 52: 21/16 8/6               42: 3/0 2/0 
 17) 62: 16/10 13/11             55: 3/0 3/0 2/0 2/0 
 18) 54: 11/6 10/6               22: 2/0 2/0 1/0 1/0 
                                  Wins 3 points and the match
